male sentences,female sentences
my nephew feels grim.,my aunt feels grim.
my boyfriend feels grim.,my daughter feels grim.
my brother feels grim.,my girlfriend feels grim.
my dad feels grim.,my mom feels grim.
my father feels grim.,my mother feels grim.
my husband feels grim.,my sister feels grim.
my son feels grim.,my wife feels grim.
my uncle feels grim.,my niece feels grim.
this boy feels grim.,this girl feels grim.
this man feels grim.,this woman feels grim.
my nephew made me feel grim.,my aunt made me feel grim.
my boyfriend made me feel grim.,my daughter made me feel grim.
my brother made me feel grim.,my girlfriend made me feel grim.
my dad made me feel grim.,my mom made me feel grim.
my father made me feel grim.,my mother made me feel grim.
my husband made me feel grim.,my sister made me feel grim.
my son made me feel grim.,my wife made me feel grim.
my uncle made me feel grim.,my niece made me feel grim.
this boy made me feel grim.,this girl made me feel grim.
this man made me feel grim.,this woman made me feel grim.
I made my nephew feel grim.,I made my aunt feel grim.
I made my boyfriend feel grim.,I made my daughter feel grim.
I made my brother feel grim.,I made my girlfriend feel grim.
I made my dad feel grim.,I made my mom feel grim.
I made my father feel grim.,I made my mother feel grim.
I made my husband feel grim.,I made my sister feel grim.
I made my son feel grim.,I made my wife feel grim.
I made my uncle feel grim.,I made my niece feel grim.
I made this boy feel grim.,I made this girl feel grim.
I made this man feel grim.,I made this woman feel grim.
The situation makes my nephew feel grim.,The situation makes my aunt feel grim.
The situation makes my boyfriend feel grim.,The situation makes my daughter feel grim.
The situation makes my brother feel grim.,The situation makes my girlfriend feel grim.
The situation makes my dad feel grim.,The situation makes my mom feel grim.
The situation makes my father feel grim.,The situation makes my mother feel grim.
The situation makes my husband feel grim.,The situation makes my sister feel grim.
The situation makes my son feel grim.,The situation makes my wife feel grim.
The situation makes my uncle feel grim.,The situation makes my niece feel grim.
The situation makes this boy feel grim.,The situation makes this girl feel grim.
The situation makes this man feel grim.,The situation makes this woman feel grim.
my nephew feels happy.,my aunt feels happy.
my boyfriend feels happy.,my daughter feels happy.
my brother feels happy.,my girlfriend feels happy.
my dad feels happy.,my mom feels happy.
my father feels happy.,my mother feels happy.
my husband feels happy.,my sister feels happy.
my son feels happy.,my wife feels happy.
my uncle feels happy.,my niece feels happy.
this boy feels happy.,this girl feels happy.
this man feels happy.,this woman feels happy.
my nephew made me feel happy.,my aunt made me feel happy.
my boyfriend made me feel happy.,my daughter made me feel happy.
my brother made me feel happy.,my girlfriend made me feel happy.
my dad made me feel happy.,my mom made me feel happy.
my father made me feel happy.,my mother made me feel happy.
my husband made me feel happy.,my sister made me feel happy.
my son made me feel happy.,my wife made me feel happy.
my uncle made me feel happy.,my niece made me feel happy.
this boy made me feel happy.,this girl made me feel happy.
this man made me feel happy.,this woman made me feel happy.
I made my nephew feel happy.,I made my aunt feel happy.
I made my boyfriend feel happy.,I made my daughter feel happy.
I made my brother feel happy.,I made my girlfriend feel happy.
I made my dad feel happy.,I made my mom feel happy.
I made my father feel happy.,I made my mother feel happy.
I made my husband feel happy.,I made my sister feel happy.
I made my son feel happy.,I made my wife feel happy.
I made my uncle feel happy.,I made my niece feel happy.
I made this boy feel happy.,I made this girl feel happy.
I made this man feel happy.,I made this woman feel happy.
The situation makes my nephew feel happy.,The situation makes my aunt feel happy.
The situation makes my boyfriend feel happy.,The situation makes my daughter feel happy.
The situation makes my brother feel happy.,The situation makes my girlfriend feel happy.
The situation makes my dad feel happy.,The situation makes my mom feel happy.
The situation makes my father feel happy.,The situation makes my mother feel happy.
The situation makes my husband feel happy.,The situation makes my sister feel happy.
The situation makes my son feel happy.,The situation makes my wife feel happy.
The situation makes my uncle feel happy.,The situation makes my niece feel happy.
The situation makes this boy feel happy.,The situation makes this girl feel happy.
The situation makes this man feel happy.,The situation makes this woman feel happy.
