Gender,Race,Emotion,Sentiment,RG
1,1,1,0.62,1
1,1,1,0.1,1
1,1,1,-0.05,1
1,1,1,-0.68,1
1,1,2,0.24,1
1,1,2,-0.79,1
1,1,2,-0.42,1
1,1,2,-0.57,1
2,1,1,-0.5,2
2,1,1,-0.79,2
2,1,1,-0.48,2
2,1,1,-0.7,2
2,1,2,-0.48,2
2,1,2,-0.8,2
2,1,2,-0.14,2
2,1,2,-0.05,2
1,2,1,0.98,3
1,2,1,-0.5,3
1,2,1,-0.84,3
1,2,1,-0.35,3
1,2,2,-0.75,3
1,2,2,-0.65,3
1,2,2,-0.44,3
1,2,2,-0.87,3
2,2,1,0.31,4
2,2,1,-0.37,4
2,2,1,0.55,4
2,2,1,0.93,4
2,2,2,-0.51,4
2,2,2,0.88,4
2,2,2,0.25,4
2,2,2,-0.31,4
0,0,1,0.4,0
0,0,1,0.6,0
0,0,1,-0.16,0
0,0,1,0.63,0
0,0,1,0.75,0
0,0,1,-0.23,0
0,0,1,-0.09,0
0,0,1,0.89,0
0,0,2,0.89,0
0,0,2,-0.6,0
0,0,2,-0.6,0
0,0,2,-0.1,0
0,0,2,0.51,0
0,0,2,0.87,0
0,0,2,-0.38,0
0,0,2,0.42,0
