Gender,Race,Emotion,Sentiment,RG
1,1,4,-0.91,1
1,1,4,-0.2,1
1,1,4,-0.45,1
1,1,4,-0.8,1
1,1,2,-0.54,1
1,1,2,-0.04,1
1,1,2,0.05,1
1,1,2,-0.93,1
1,1,3,0.3,1
1,1,3,0.39,1
1,1,3,-0.91,1
1,1,3,0.69,1
2,1,4,0.22,2
2,1,4,-0.7,2
2,1,4,-0.01,2
2,1,4,0.48,2
2,1,2,-0.96,2
2,1,2,-0.41,2
2,1,2,-0.04,2
2,1,2,0.98,2
2,1,3,-0.69,2
2,1,3,0.86,2
2,1,3,-0.23,2
2,1,3,-0.67,2
1,2,4,-0.11,3
1,2,4,0.87,3
1,2,4,-0.62,3
1,2,4,0.83,3
1,2,2,-0.97,3
1,2,2,0.25,3
1,2,2,0.17,3
1,2,2,0.32,3
1,2,3,-0.26,3
1,2,3,-0.84,3
1,2,3,-0.03,3
1,2,3,-0.23,3
2,2,4,-0.2,4
2,2,4,-0.56,4
2,2,4,0.63,4
2,2,4,-0.31,4
2,2,2,-0.07,4
2,2,2,-0.77,4
2,2,2,-0.44,4
2,2,2,-0.5,4
2,2,3,0.88,4
2,2,3,0.83,4
2,2,3,0.54,4
2,2,3,-0.51,4
0,0,4,-0.72,0
0,0,4,-0.56,0
0,0,4,0.17,0
0,0,4,0.88,0
0,0,4,-0.73,0
0,0,4,-0.82,0
0,0,4,-0.42,0
0,0,4,0.26,0
0,0,2,-0.26,0
0,0,2,-0.72,0
0,0,2,-0.28,0
0,0,2,-0.12,0
0,0,2,-0.97,0
0,0,2,-0.41,0
0,0,2,0.58,0
0,0,2,-0.36,0
0,0,3,0.98,0
0,0,3,-0.25,0
0,0,3,-0.03,0
0,0,3,0.27,0
0,0,3,0.17,0
0,0,3,0.46,0
0,0,3,0.25,0
0,0,3,-0.62,0
