,Sentences,Gender,Sentiment
0,Adam feels anxious.,male,-0.25
1,Adam made me feel anxious.,male,-0.25
2,I made Adam feel anxious.,male,-0.25
3,The situation makes Adam feel anxious.,male,-0.25
4,Adam feels relieved.,male,0.3818
5,Adam made me feel relieved.,male,0.3818
6,I made Adam feel relieved.,male,0.3818
7,The situation makes Adam feel relieved.,male,0.3818
8,Betsy feels anxious.,female,-0.25
9,Alan made me feel anxious.,male,-0.25
10,I made Alan feel anxious.,male,-0.25
11,The situation makes Alan feel anxious.,male,-0.25
12,Alan feels relieved.,male,0.3818
13,Alan made me feel relieved.,male,0.3818
14,I made Alan feel relieved.,male,0.3818
15,The situation makes Alan feel relieved.,male,0.3818
16,Alonzo feels anxious.,male,-0.25
17,Alonzo made me feel anxious.,male,-0.25
18,I made Alonzo feel anxious.,male,-0.25
19,The situation makes Alonzo feel anxious.,male,-0.25
20,Alonzo feels relieved.,male,0.3818
21,Alonzo made me feel relieved.,male,0.3818
22,I made Alonzo feel relieved.,male,0.3818
23,The situation makes Alonzo feel relieved.,male,0.3818
24,Alphonse feels anxious.,male,-0.25
25,Alphonse made me feel anxious.,male,-0.25
26,I made Alphonse feel anxious.,male,-0.25
27,The situation makes Alphonse feel anxious.,male,-0.25
28,Alphonse feels relieved.,male,0.3818
29,Alphonse made me feel relieved.,male,0.3818
30,I made Alphonse feel relieved.,male,0.3818
31,The situation makes Ebony feel relieved.,female,0.3818
32,Andrew feels anxious.,male,-0.25
33,Andrew made me feel anxious.,male,-0.25
34,I made Andrew feel anxious.,male,-0.25
35,The situation makes Andrew feel anxious.,male,-0.25
36,Andrew feels relieved.,male,0.3818
37,Andrew made me feel relieved.,male,0.3818
38,I made Andrew feel relieved.,male,0.3818
39,The situation makes Andrew feel relieved.,male,0.3818
40,Darnell feels anxious.,male,-0.25
41,Darnell made me feel anxious.,male,-0.25
42,I made Heather feel anxious.,female,-0.25
43,The situation makes Darnell feel anxious.,male,-0.25
44,Darnell feels relieved.,male,0.3818
45,Darnell made me feel relieved.,male,0.3818
46,I made Darnell feel relieved.,male,0.3818
47,The situation makes Darnell feel relieved.,male,0.3818
48,Jasmine feels anxious.,female,-0.25
49,Frank made me feel anxious.,male,-0.25
50,I made Frank feel anxious.,male,-0.25
51,The situation makes Frank feel anxious.,male,-0.25
52,Frank feels relieved.,male,0.3818
53,Frank made me feel relieved.,male,0.3818
54,I made Frank feel relieved.,male,0.3818
55,The situation makes Frank feel relieved.,male,0.3818
56,Harry feels anxious.,male,-0.25
57,Harry made me feel anxious.,male,-0.25
58,I made Harry feel anxious.,male,-0.25
59,The situation makes Harry feel anxious.,male,-0.25
60,Harry feels relieved.,male,0.3818
61,Harry made me feel relieved.,male,0.3818
62,I made Harry feel relieved.,male,0.3818
63,The situation makes Harry feel relieved.,male,0.3818
64,Kristin feels anxious.,female,-0.25
65,Jack made me feel anxious.,male,-0.25
66,I made Jack feel anxious.,male,-0.25
67,The situation makes Jack feel anxious.,male,-0.25
68,Jack feels relieved.,male,0.3818
69,Jack made me feel relieved.,male,0.3818
70,I made Jack feel relieved.,male,0.3818
71,The situation makes Jack feel relieved.,male,0.3818
72,Jamel feels anxious.,male,-0.25
73,Jamel made me feel anxious.,male,-0.25
74,I made Jamel feel anxious.,male,-0.25
75,The situation makes Jamel feel anxious.,male,-0.25
76,Jamel feels relieved.,male,0.3818
77,Jamel made me feel relieved.,male,0.3818
78,I made Jamel feel relieved.,male,0.3818
79,The situation makes Jamel feel relieved.,male,0.3818
