Gender,Emotion,Sentiment
1,2,0.3333333333333333
1,2,0.3333333333333333
1,2,-0.3333333333333333
1,2,-0.3333333333333333
1,2,-0.3333333333333333
1,2,0.6666666666666666
1,2,-0.6666666666666666
1,2,0.3333333333333333
2,2,0.6666666666666666
2,2,0.3333333333333333
2,2,-0.3333333333333333
2,2,-0.3333333333333333
2,2,-0.3333333333333333
2,2,-0.3333333333333333
2,2,-0.3333333333333333
2,2,0.3333333333333333
0,2,0.3333333333333333
0,2,-0.3333333333333333
0,2,-0.3333333333333333
0,2,-0.6666666666666666
0,2,0.3333333333333333
0,2,-0.3333333333333333
0,2,-0.3333333333333333
0,2,-0.6666666666666666
