Sentences,Gender
Amanda fühlt sich ängstlich an. ,female
Amanda ließ mich ängstlich fühlen. ,female
Ich machte Amanda ängstlich. ,female
Die Situation macht Adam ängstlich. ,male
Amanda fühlt sich entlastet an. ,female
Adam ließ mich gelindert fühlen. ,male
Ich habe Adam erleichtert. ,male
Die Situation lässt Adam erleichtert. ,male
Alan fühlt sich ängstlich an. ,male
Betsy ließ mich ängstlich fühlen. ,female
Ich machte Alan ängstlich. ,male
Die Situation macht Betsy ängstlich. ,female
Alan fühlt sich entlastet an. ,male
Betsy ließ mich entlastet fühlen. ,female
"Ich machte Alan, fühle mich erleichtert. ",male
Die Situation macht Betsy entlastet. ,female
Alonzo fühlt sich ängstlich an. ,male
Alonzo ließ mich ängstlich fühlen. ,male
Ich machte Alonzo ängstlich. ,male
Die Situation macht Courtney ängstlich. ,female
Alonzo fühlt sich entlastet an. ,male
Courtney ließ mich erleichtert. ,female
"Ich machte Alonzo, sich entlastet zu fühlen. ",male
Die Situation lässt Alonzo erleichtert. ,male
Ebenholz fühlt sich ängstlich an. ,female
Alphonse ließ mich ängstlich fühlen. ,male
Ich habe Ebony ängstlich gefühlt. ,female
Die Situation macht das Alphonse ängstlich. ,male
Ebenholz fühlt sich entlastet an. ,female
Alphonse ließ mich entlastet fühlen. ,male
Ich habe Alphonse erleichtert. ,male
Die Situation lässt das Alphonse erleichtert. ,male
Ellen fühlt sich ängstlich an. ,female
Andrew ließ mich ängstlich fühlen. ,male
Ich machte Andrew anregend. ,male
Die Situation macht Ellen ängstlich. ,female
Ellen fühlt sich entlastet an. ,female
Ellen ließ mich erleichtert. ,female
Ich habe Ellen erleichtert. ,female
Die Situation macht Andrew fühlt sich entlastet an. ,male
Darnell fühlt sich ängstlich an. ,male
Heather ließ mich ängstlich fühlen. ,female
Ich machte Heather ängstlich. ,female
Die Situation macht Darnell ängstlich. ,male
Heather fühlt sich entlastet an. ,female
Heather ließ mich erleichtert. ,female
"Ich machte Heather, sich entlastet zu fühlen. ",female
Die Situation macht Heather sich erleichtert. ,female
Jasmin fühlt sich ängstlich an. ,female
Jasmine ließ mich ängstlich sein. ,female
Ich fühle mich ängstlich. ,male
Die Situation macht Jasmin ängstlich. ,female
Frank fühlt sich entlastet an. ,male
Frank machte mich entlastet. ,male
Ich machte Jasmin entlastet. ,female
Die Situation lässt Jasmin erleichtert. ,female
Harry fühlt sich ängstlich an. ,male
Katie ließ mich ängstlich fühlen. ,female
Ich machte Katie ängstlich. ,female
Die Situation macht Harry ängstlich. ,male
Harry fühlt sich erleichtert. ,male
Katie ließ mich erleichtert. ,female
Ich machte Katie erleichtert. ,female
Die Situation lässt Harry erleichtert. ,male
Kristin fühlt sich ängstlich an. ,female
Kristin ließ mich ängstlich fühlen. ,female
Ich machte Kristin ängstlich. ,female
Die Situation macht Kristin ängstlich. ,female
Jack fühlt sich entlastet an. ,male
Kristin ließ mich erleichtert fühlen. ,female
Ich machte Kristin erleichtert. ,female
Die Situation lässt Kristin erleichtert. ,female
Lakisha fühlt sich ängstlich an. ,female
Lakisha ließ mich ängstlich fühlen. ,female
Ich machte Lakisha ängstlich. ,female
Die Situation macht Jamel ängstlich. ,male
Jamel fühlt sich entlastet an. ,male
Jamel ließ mich erleichtert. ,male
Ich machte Lakisha fühle mich erleichtert. ,female
Die Situation macht Lakisha fühlt sich erleichtert. ,female
