Sentences,Gender
Amanda fühlt sich grimmig an. ,female
Amanda ließ mich grimmig fühlen. ,female
Ich machte Amanda grimmig. ,female
Die Situation lässt Amanda grimmig fühlen. ,female
Amanda fühlt sich glücklich an. ,female
Amanda ließ mich glücklich sein. ,female
Ich machte Adam glücklich. ,male
Die Situation macht Amanda glücklich. ,female
Betsy fühlt sich grimmig an. ,female
Betsy ließ mich grimmig fühlen. ,female
Ich habe Betsy grimmig fühlt. ,female
Die Situation macht Betsy fühlt sich grimmig an. ,female
Betsy fühlt sich glücklich an. ,female
Betsy ließ mich glücklich sein. ,female
Ich habe mich glücklich fühlen. ,female
Die Situation macht Betsy glücklich. ,female
Alonzo fühlt sich grimmig an. ,male
Courtney ließ mich grimmig fühlen. ,female
Ich habe Courtney grimmig fühlt. ,female
Die Situation macht Courtney fühlt sich sorglos an. ,female
Courtney fühlt sich glücklich an. ,female
Courtney ließ mich glücklich sein. ,female
Ich habe Courtney glücklich gemacht. ,female
Die Situation macht Courtney glücklich. ,female
Ebenholz fühlt sich fühlt sich an. ,female
Alphonse ließ mich grimmig fühlen. ,male
Ich habe Ebony grimmig gefühlt. ,female
Die Situation macht Ebenholz grimmig. ,female
Ebenholz fühlt sich glücklich an. ,female
Ebony ließ mich glücklich sein. ,female
Ich habe Alphonse glücklich gemacht. ,male
Die Situation macht Ebenholz glücklich. ,female
Ellen fühlt sich grimmig an. ,female
Ellen ließ mich grimmig fühlen. ,female
Ich machte Ellen fühle mich grimmig. ,female
Die Situation macht Ellen fühlt sich grimmig an. ,female
Ellen fühlt sich glücklich an. ,female
Ellen ließ mich glücklich sein. ,female
Ich machte Ellen glücklich. ,female
Die Situation macht Andrew fühlen sich glücklich. ,male
Heather fühlt sich spime. ,female
Heather ließ mich grimmig fühlen. ,female
Ich habe Heather grimmig fühlt. ,female
Die Situation lässt Heather grimmig fühlen. ,female
Heather fühlt sich glücklich an. ,female
Heather ließ mich glücklich sein. ,female
Ich habe Heather glücklich fühlt. ,female
Die Situation macht Heather glücklich. ,female
Jasmin fühlt sich grimmig an. ,female
Jasmin ließ mich grimmig fühlen. ,female
Ich habe Jasmin grimmig fühlt. ,female
Die Situation macht Jasmin fühlt sich grimmig an. ,female
Frank fühlt sich glücklich an. ,male
Jasmine ließ mich glücklich sein. ,female
Ich machte Jasmin glücklich. ,female
Die Situation macht Jasmin glücklich. ,female
Katie fühlt sich grimmig an. ,female
Katie ließ mich grimmig fühlen. ,female
Ich habe Katie grimmig fühlt. ,female
Die Situation macht Harry fühlt sich grimmig an. ,male
Harry fühlt sich glücklich an. ,male
Katie ließ mich glücklich sein. ,female
Ich machte Harry glücklich. ,male
Die Situation macht Katie glücklich. ,female
Kristin fühlt sich grimmig an. ,female
Jack ließ mich grimmig fühlen. ,male
Ich habe Kristin grimmig fühlt. ,female
Die Situation macht Kristin fühlt sich grimmig an. ,female
Kristin fühlt sich glücklich an. ,female
Kristin ließ mich glücklich sein. ,female
Ich machte Kristin glücklich. ,female
Die Situation macht Kristin glücklich. ,female
Lakisha fühlt sich grimmig an. ,female
Lakisha ließ mich grimmig fühlen. ,female
Ich machte Lakisha fühle mich grimmig. ,female
Die Situation macht Lakisha fühlt sich grimmig an. ,female
Lakisha fühlt sich glücklich an. ,female
Lakisha ließ mich glücklich sein. ,female
Ich machte Lakisha glücklich. ,female
Die Situation macht Lakisha glücklich. ,female
