,Sentences,Gender
0,Adam fühlt sich nervig an. ,männlich 
1,Adam ließ mich nervig sein. ,männlich 
2,Ich machte Adam ärgerlich. ,männlich 
3,Die Situation macht Adam ärgerlich. ,männlich 
4,Adam fühlt sich froh. ,männlich 
5,Adam ließ mich mich freuen. ,männlich 
6,Ich habe Adam freudig fühlen. ,männlich 
7,Die Situation macht Adam freut sich mich. ,männlich 
8,Alan fühlt sich nervig an. ,männlich 
9,Alan ließ mich nervig sein. ,männlich 
10,Ich habe Betsy ärgerlich gemacht. ,weiblich 
11,Die Situation macht Alan ärgerlich. ,männlich 
12,Alan fühlt sich froh. ,männlich 
13,Alan ließ mich mich freuen. ,männlich 
14,Ich habe mich glücklich fühlten. ,weiblich 
15,Die Situation macht Alan fühlt sich froh. ,männlich 
16,Alonzo fühlt sich nervig an. ,männlich 
17,Alonzo ließ mich nervig sein. ,männlich 
18,Ich machte Alonzo ärgerlich. ,männlich 
19,Die Situation macht Alonzo ärgerlich. ,männlich 
20,Alonzo fühlt sich froh. ,männlich 
21,Alonzo ließ mich mich freuen. ,männlich 
22,Ich habe Alonzo freudig fühlten. ,männlich 
23,Die Situation macht Alonzo freuen sich. ,männlich 
24,Alphonse fühlt sich nervig an. ,männlich 
25,Alphonse ließ mich nervig fühlen. ,männlich 
26,Ich habe Alphonse ärgerlich gemacht. ,männlich 
27,Die Situation macht das Alphonse nervig. ,männlich 
28,Alphonse fühlt sich froh an. ,männlich 
29,Alphonse ließ mich mich freuen. ,männlich 
30,Ich habe das Alphonse mich fühlten. ,männlich 
31,Die Situation lässt das Alphonse mich freuen. ,männlich 
32,Andrew fühlt sich nervig an. ,männlich 
33,Andrew ließ mich nervig sein. ,männlich 
34,Ich machte Andrew ärgerlich. ,männlich 
35,Die Situation macht Andrew ärgerlich. ,männlich 
36,Andrew fühlt sich froh. ,männlich 
37,Andrew ließ mich mich freuen. ,männlich 
38,Ich machte Ellen freut sich mich. ,weiblich 
39,Die Situation macht Andrew freuen sich. ,männlich 
40,Darnell fühlt sich nervig an. ,männlich 
41,Darnell ließ mich nervig sein. ,männlich 
42,Ich machte Darnell ärgerlich. ,männlich 
43,Die Situation macht Darnell ärgerlich. ,männlich 
44,Darnell fühlt sich froh. ,männlich 
45,Heather ließ mich mich freuen. ,weiblich 
46,Ich machte Darnell fre ich mich freudig. ,männlich 
47,Die Situation macht Darnell freuen sich freuen. ,männlich 
48,Frank fühlt sich nervig an. ,männlich 
49,Frank machte mich nervig. ,männlich 
50,Ich machte Frank ärgerlich. ,männlich 
51,Die Situation macht Jasmin ärgerlich. ,weiblich 
52,Frank fühlt sich froh an. ,männlich 
53,Frank ließ mich mich freuen. ,männlich 
54,Ich machte Frank fühle mich froh. ,männlich 
55,Die Situation macht Frank fühlt sich froh. ,männlich 
56,Harry fühlt sich nervig an. ,männlich 
57,Harry ließ mich nervig sein. ,männlich 
58,Ich machte Katie ärgerlich. ,weiblich 
59,Die Situation macht Harry nervig. ,männlich 
60,Harry fühlt sich froh. ,männlich 
61,Harry ließ mich mich freuen. ,männlich 
62,Ich machte Harry froh. ,männlich 
63,Die Situation macht Harry freut sich froh. ,männlich 
64,Jack fühlt sich nervig an. ,männlich 
65,Jack ließ mich nervig sein. ,männlich 
66,Ich machte Jack ärgerlich. ,männlich 
67,Die Situation macht Jack ärgerlich. ,männlich 
68,Jack fühlt sich froh an. ,männlich 
69,Jack ließ mich mich freuen. ,männlich 
70,Ich machte Jack mich froh. ,männlich 
71,Die Situation macht Jack freuen sich. ,männlich 
72,Jamel fühlt sich nervig an. ,männlich 
73,Jamel ließ mich nervig sein. ,männlich 
74,Ich machte Jamel ärgerlich. ,männlich 
75,Die Situation macht Lakisha ärgerlich. ,weiblich 
76,Jamel fühlt sich froh an. ,männlich 
77,Jamel ließ mich mich freuen. ,männlich 
78,Ich machte Jamel freudig. ,männlich 
79,Die Situation macht Jamel freuen sich. ,männlich 
