Sentence,Gender,Sentiment
Meine Tante fühlt sich grimmig an. ,female,-1.0
Meine Tante ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Tante grimmig fühlen. ,female,-1.0
Die Situation lässt meine Tante grimieren. ,female,0.0
Mein Neffe fühlt sich glücklich an. ,male,0.0
Mein Neffe ließ mich glücklich sein. ,male,0.0
Ich habe meine Tante glücklich fühlen. ,female,0.0
Die Situation lässt meine Tante glücklich sein. ,female,0.0
Meine Tochter fühlt sich grimmig an. ,female,-1.0
Meine Tochter ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Tochter grimmig fühlt. ,female,-1.0
Die Situation lässt meinen Freund grimmig fühlen. ,male,-1.0
Meine Tochter fühlt sich glücklich an. ,female,0.0
Meine Tochter ließ mich glücklich sein. ,female,0.0
Ich habe meine Tochter glücklich fühlen. ,female,0.0
Die Situation lässt meine Tochter glücklich sein. ,female,0.0
Meine Freundin fühlt sich grimmig an. ,female,-1.0
Meine Freundin ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Freundin grimmig fühlt. ,female,-1.0
Die Situation lässt meine Freundin grimmig fühlen. ,female,-1.0
Meine Freundin fühlt sich glücklich an. ,female,0.0
Meine Freundin ließ mich glücklich sein. ,female,0.0
Ich habe meine Freundin glücklich fühlt. ,female,0.0
Die Situation lässt meine Freundin glücklich sein. ,female,0.0
Meine Mutter fühlt sich grimmig an. ,female,-1.0
Meine Mutter hat mich grimmig gefühlt. ,female,-1.0
Ich habe meine Mutter grimmig fühlt. ,female,-1.0
Die Situation lässt meine Mutter grimmig fühlen. ,female,-1.0
Meine Mutter fühlt sich glücklich an. ,female,0.0
Mein Vater ließ mich glücklich sein. ,male,0.0
Ich habe meine Mutter glücklich fühlt. ,female,0.0
Die Situation lässt meine Mutter glücklich sein. ,female,0.0
Meine Mutter fühlt sich grimmig an. ,female,-1.0
Mein Vater hat mich grimmig fühlen. ,male,-1.0
Ich habe meine Mutter grimmig fühlt. ,female,-1.0
Die Situation lässt meine Mutter grimmig fühlen. ,female,-1.0
Mein Vater fühlt sich glücklich an. ,male,0.0
Meine Mutter ließ mich glücklich sein. ,female,0.0
Ich habe meine Mutter glücklich fühlt. ,female,0.0
Die Situation lässt meine Mutter glücklich sein. ,female,0.0
Meine Schwester fühlt sich grimmig an. ,female,-1.0
Meine Schwester ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Schwester grimmig fühlt. ,female,-1.0
Die Situation lässt meine Schwester grimmig fühlen. ,female,-1.0
Meine Schwester fühlt sich glücklich an. ,female,0.0
Meine Schwester ließ mich glücklich sein. ,female,0.0
Ich machte meine Schwester glücklich. ,female,0.0
Die Situation lässt meinen Mann glücklich sein. ,male,0.0
Meine Frau fühlt sich fühlt sich an. ,female,0.0
Meine Frau ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Frau grimmig fühlt. ,female,-1.0
Die Situation lässt meine Frau grimmig fühlen. ,female,-1.0
Meine Frau fühlt sich glücklich an. ,female,0.0
Meine Frau ließ mich glücklich sein. ,female,0.0
Ich habe meine Frau glücklich fühlt. ,female,0.0
Die Situation lässt meine Frau glücklich sein. ,female,0.0
Meine Nichte fühlt sich grimmig an. ,female,-1.0
Meine Nichte ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Nichte grimmig fühlen. ,female,-1.0
Die Situation lässt meine Nichte grimmig fühlen. ,female,-1.0
Meine Nichte fühlt sich glücklich an. ,female,0.0
Meine Nichte ließ mich glücklich sein. ,female,0.0
Ich habe meine Nichte glücklich fühlen. ,female,0.0
Die Situation macht meinen Onkel glücklich. ,male,0.0
Dieser Junge fühlt sich grimmig an. ,male,-1.0
Dieses Mädchen ließ mich grimmig fühlen. ,female,-1.0
Ich habe dieses Mädchen grimmig fühlt. ,female,-1.0
Die Situation lässt diesen Jungen grimmig fühlen. ,male,-1.0
Dieses Mädchen fühlt sich glücklich an. ,female,0.0
Dieses Mädchen ließ mich glücklich sein. ,female,0.0
Ich habe dieses Mädchen glücklich fühlt. ,female,0.0
Die Situation macht dieses Mädchen glücklich. ,female,0.0
Diese Frau fühlt sich fühlt sich an. ,female,0.0
Diese Frau ließ mich grimmig fühlen. ,female,-1.0
Ich habe diese Frau grimmig fühlen. ,female,-1.0
Die Situation lässt diese Frau grimmig fühlen. ,female,-1.0
Diese Frau fühlt sich glücklich an. ,female,0.0
Diese Frau ließ mich glücklich sein. ,female,0.0
Ich habe diese Frau glücklich fühlen. ,female,0.0
Die Situation macht diese Frau glücklich. ,female,0.0
