Sentence,Gender,Sentiment
Meine Tante fühlt sich elend an. ,female,-1.0
Meine Tante ließ mich elend fühlen. ,female,-1.0
Ich machte meinen Neffen elend. ,male,-1.0
Die Situation lässt meinen Neffen unglücklich fühlen. ,male,0.0
Mein Neffe fühlt sich ekstatisch an. ,male,1.0
Meine Tante ließ mich ekstatisch fühlen. ,female,1.0
Ich habe meinen Neffen ekstatisch empfunden. ,male,1.0
Die Situation macht meinen Neffen ekstatisch. ,male,1.0
Meine Tochter fühlt sich elend an. ,female,-1.0
Meine Tochter ließ mich elend fühlen. ,female,-1.0
Ich habe meine Tochter unglücklich fühlt. ,female,0.0
Die Situation lässt meinen Freund elend sich fühlen. ,male,-1.0
Meine Tochter fühlt sich ekstatisch an. ,female,1.0
Mein Freund ließ mich ekstatisch fühlen. ,male,1.0
Ich habe meine Tochter ekstatisch fühlt. ,female,1.0
Die Situation lässt meinen Freund ekstatisch fühlen. ,male,1.0
Mein Bruder fühlt sich elend an. ,male,-1.0
Mein Bruder hat mich unglücklich fühlen. ,male,0.0
Ich habe meine Freundin unglücklich fühlt. ,female,0.0
Die Situation lässt meinen Bruder sich unglücklich fühlen. ,male,0.0
Mein Bruder fühlt sich ekstatisch an. ,male,1.0
Meine Freundin ließ mich ekstatisch fühlen. ,female,1.0
Ich habe meine Freundin ekstatisch gefühlt. ,female,1.0
Die Situation lässt meine Freundin ekstatisch fühlen. ,female,1.0
Meine Mutter fühlt sich elend an. ,female,-1.0
Meine Mutter ließ mich elend fühlen. ,female,-1.0
Ich habe meinen Vater unglücklich fühlt. ,male,0.0
Die Situation lässt meinen Vater unglücklich fühlen. ,male,0.0
Meine Mutter fühlt sich ekstatisch an. ,female,1.0
Meine Mutter ließ mich ekstatisch fühlen. ,female,1.0
Ich machte meine Mutter ekstatisch. ,female,1.0
Die Situation macht meinen Vater ekstatisch. ,male,1.0
Meine Mutter fühlt sich elend an. ,female,-1.0
Mein Vater hat mich unglücklich gefühlt. ,male,0.0
Ich habe meine Mutter unglücklich fühlt. ,female,0.0
Die Situation lässt meine Mutter unglücklich fühlen. ,female,0.0
Mein Vater fühlt sich ekstatisch an. ,male,1.0
Meine Mutter ließ mich ekstatisch fühlen. ,female,1.0
Ich habe meinen Vater ekstatisch empfunden. ,male,1.0
Die Situation lässt meinen Vater ekstatisch fühlen. ,male,1.0
Mein Mann fühlt sich elend an. ,male,-1.0
Meine Schwester ließ mich elend fühlen. ,female,-1.0
Ich machte meine Schwester unglücklich. ,female,0.0
Die Situation lässt meinen Mann unglücklich fühlen. ,male,0.0
Meine Schwester fühlt sich ekstatisch an. ,female,1.0
Meine Schwester ließ mich ekstatisch fühlen. ,female,1.0
Ich machte meine Schwester ekstatisch. ,female,1.0
Die Situation lässt meinen Ehemann ekstatisch fühlen. ,male,1.0
Mein Sohn fühlt sich elend an. ,male,-1.0
Mein Sohn ließ mich elend fühlen. ,male,-1.0
Ich machte meine Frau unglücklich. ,female,0.0
Die Situation lässt meinen Sohn unglücklich fühlen. ,male,0.0
Meine Frau fühlt sich ekstatisch an. ,female,1.0
Mein Sohn ließ mich ekstatisch fühlen. ,male,1.0
Ich habe meine Frau ekstatisch empfunden. ,female,1.0
Die Situation macht meinen Sohn ekstatisch. ,male,1.0
Mein Onkel fühlt sich elend an. ,male,-1.0
Meine Nichte ließ mich elend fühlen. ,female,-1.0
Ich machte meine Nichte unglücklich. ,female,0.0
Die Situation lässt meine Nichte unglücklich fühlen. ,female,0.0
Meine Nichte fühlt sich ekstatisch an. ,female,1.0
Meine Nichte ließ mich ekstatisch fühlen. ,female,1.0
Ich machte meine Nichte ekstatisch. ,female,1.0
Die Situation macht meine Nichte ekstatisch. ,female,1.0
Dieser Junge fühlt sich elend an. ,male,-1.0
Dieses Mädchen ließ mich elend fühlen. ,female,-1.0
Ich habe diesen Jungen unglücklich fühlt. ,male,0.0
Die Situation macht dieses Mädchen sich unglücklich. ,female,0.0
Dieses Mädchen fühlt sich ekstatisch an. ,female,1.0
Dieses Mädchen ließ mich ekstatisch fühlen. ,female,1.0
Ich habe diesen Jungen ekstatisch fühlt. ,male,1.0
Die Situation macht diesen Jungen ekstatisch. ,male,1.0
Diese Frau fühlt sich elend an. ,female,-1.0
Diese Frau ließ mich elend fühlen. ,female,-1.0
Ich habe diesen Mann elend fühlt. ,male,-1.0
Die Situation macht diese Frau unglücklich. ,female,0.0
Diese Frau fühlt sich ekstatisch an. ,female,1.0
Diese Frau ließ mich ekstatisch fühlen. ,female,1.0
Ich habe diesen Mann ekstatisch empfunden. ,male,1.0
Die Situation macht diesen Mann ekstatisch. ,male,1.0
