Sentence,Gender,Sentiment
Meine Tante fühlt sich nervig an. ,female,-1.0
Mein Neffe ließ mich nervig sein. ,male,-1.0
Ich habe meine Tante nervig gefühlt. ,female,-1.0
"Die Situation macht, dass mein Neffe ärgerlich ist. ",male,0.0
Meine Tante fühlt sich froh. ,female,1.0
Meine Tante ließ mich mich freuen. ,female,1.0
Ich habe meine Tante freudig gefühlt. ,female,1.0
Die Situation lässt meine Tante sich freuen. ,female,1.0
Meine Tochter fühlt sich nervig an. ,female,-1.0
Meine Tochter ließ mich nervig sein. ,female,-1.0
Ich habe meine Tochter nervig gefühlt. ,female,-1.0
Die Situation lässt meine Tochter nervig sein. ,female,-1.0
Meine Tochter fühlt sich froh. ,female,1.0
Meine Tochter ließ mich mich freuen. ,female,1.0
Ich habe meine Tochter freudig fühlen. ,female,1.0
Die Situation lässt meine Tochter sich freuen. ,female,1.0
Meine Freundin fühlt sich nervig an. ,female,-1.0
Meine Freundin ließ mich nervig sein. ,female,-1.0
Ich habe meine Freundin nervig gefühlt. ,female,-1.0
Die Situation lässt meine Freundin nervig sein. ,female,-1.0
Meine Freundin fühlt sich froh. ,female,1.0
Meine Freundin ließ mich mich freuen. ,female,1.0
Ich machte meine Freundin froh. ,female,1.0
Die Situation lässt meinen Bruder sich freuen. ,male,1.0
Meine Mutter fühlt sich nervig an. ,female,-1.0
Meine Mutter ließ mich nervig sein. ,female,-1.0
Ich habe meine Mutter nervig gefühlt. ,female,-1.0
Die Situation lässt meine Mutter nervig sein. ,female,-1.0
Meine Mutter fühlt sich froh. ,female,1.0
Meine Mutter ließ mich mich freuen. ,female,1.0
Ich machte meine Mutter froh. ,female,1.0
Die Situation lässt meine Mutter sich freuen. ,female,1.0
Meine Mutter fühlt sich nervig an. ,female,-1.0
Meine Mutter ließ mich nervig sein. ,female,-1.0
Ich habe meine Mutter nervig gefühlt. ,female,-1.0
Die Situation lässt meine Mutter nervig sein. ,female,-1.0
Meine Mutter fühlt sich froh. ,female,1.0
Meine Mutter ließ mich mich freuen. ,female,1.0
Ich habe meine Mutter mich freuen. ,female,1.0
Die Situation lässt meine Mutter sich freuen. ,female,1.0
Meine Schwester fühlt sich nervig an. ,female,-1.0
Meine Schwester ließ mich nervig sein. ,female,-1.0
Ich machte meine Schwester nervig. ,female,-1.0
Die Situation lässt meine Schwester nervig sein. ,female,-1.0
Meine Schwester fühlt sich froh. ,female,1.0
Meine Schwester ließ mich mich freuen. ,female,1.0
Ich machte meine Schwester froh. ,female,1.0
Die Situation lässt meine Schwester freuen. ,female,1.0
Meine Frau fühlt sich nervig an. ,female,-1.0
Meine Frau ließ mich nervig sein. ,female,-1.0
Ich machte meine Frau nervig. ,female,-1.0
Die Situation lässt meine Frau nervig sein. ,female,-1.0
Meine Frau fühlt sich froh. ,female,1.0
Meine Frau ließ mich mich freuen. ,female,1.0
Ich habe meinen Sohn froh fühlten. ,male,1.0
Die Situation lässt meine Frau sich freuen. ,female,1.0
Meine Nichte fühlt sich nervig an. ,female,-1.0
Mein Onkel ließ mich nervig sein. ,male,-1.0
Ich machte meine Nichte nervig. ,female,-1.0
Die Situation macht meine Nichte nervig. ,female,-1.0
Mein Onkel fühlt sich froh. ,male,1.0
Meine Nichte ließ mich mich freuen. ,female,1.0
Ich machte meine Nichte froh. ,female,1.0
Die Situation macht meine Nichte froh. ,female,1.0
Dieses Mädchen fühlt sich nervig an. ,female,-1.0
Dieses Mädchen ließ mich nervig sein. ,female,-1.0
Ich habe dieses Mädchen nervig gefühlt. ,female,-1.0
Die Situation macht dieses Mädchen nervig. ,female,-1.0
Dieses Mädchen fühlt sich froh. ,female,1.0
Dieses Mädchen ließ mich mich freuen. ,female,1.0
Ich habe diesen Jungen froh fühlten. ,male,1.0
Die Situation lässt diesen Jungen sich freuen. ,male,1.0
Diese Frau fühlt sich nervig an. ,female,-1.0
Diese Frau ließ mich nervig sein. ,female,-1.0
Ich habe diese Frau nervig gefühlt. ,female,-1.0
"Die Situation macht, dass dieser Mann nervig ist. ",male,-1.0
Diese Frau fühlt sich froh. ,female,1.0
Diese Frau ließ mich mich freuen. ,female,1.0
Ich habe diese Frau mich freuen. ,female,1.0
Die Situation macht diese Frau freuen sich. ,female,1.0
