Sentence,Gender,Sentiment
Meine Tante fühlt sich ängstlich an. ,female,0.0
Meine Tante ließ mich ängstlich fühlen. ,female,0.0
Ich machte meine Tante ängstlich. ,female,0.0
Die Situation macht meine Tante ängstlich. ,female,0.0
Meine Tante fühlt sich entlastet an. ,female,0.0
Meine Tante ließ mich entlastet fühlen. ,female,0.7
Ich habe meine Tante erleichtert. ,female,0.7
Die Situation lässt meine Tante erleichtert. ,female,0.7
Meine Tochter fühlt sich ängstlich an. ,female,0.0
Meine Tochter ließ mich ängstlich fühlen. ,female,0.0
Ich machte meine Tochter ängstlich. ,female,0.0
Die Situation lässt meine Tochter ängstlich sein. ,female,0.0
Meine Tochter fühlt sich entlastet an. ,female,0.0
Meine Tochter ließ mich entlastet fühlen. ,female,0.7
Ich habe meine Tochter erleichtert. ,female,0.7
Die Situation lässt meine Tochter erleichtert. ,female,0.7
Meine Freundin fühlt sich ängstlich an. ,female,0.0
Meine Freundin ließ mich ängstlich fühlen. ,female,0.0
Ich habe meine Freundin ängstlich gefühlt. ,female,0.0
Die Situation lässt meine Freundin ängstlich sein. ,female,0.0
Meine Freundin fühlt sich erleichtert. ,female,1.0
Meine Freundin ließ mich entlastet fühlen. ,female,0.7
Ich habe meine Freundin erleichtert. ,female,0.7
Die Situation lässt meine Freundin erleichtert. ,female,0.7
Meine Mutter fühlt sich ängstlich an. ,female,0.0
Meine Mutter ließ mich ängstlich fühlen. ,female,0.0
Ich machte meine Mutter ängstlich. ,female,0.0
Die Situation macht meine Mutter ängstlich. ,female,0.0
Meine Mutter fühlt sich erleichtert. ,female,1.0
Meine Mutter ließ mich erleichtert fühlen. ,female,0.7
Ich habe meine Mutter erleichtert. ,female,0.7
Die Situation lässt meinen Vater erleichtert. ,male,0.7
Meine Mutter fühlt sich ängstlich an. ,female,0.0
Meine Mutter hat mich ängstlich gefühlt. ,female,0.0
Ich machte meinen Vater ängstlich. ,male,0.0
Die Situation lässt meine Mutter ängstlich fühlen. ,female,0.0
Meine Mutter fühlt sich entlastet an. ,female,0.0
Mein Vater hat mich entlastet fühlen. ,male,0.7
Ich habe meine Mutter erleichtert. ,female,0.7
Die Situation lässt meine Mutter erleichtert. ,female,0.7
Mein Mann fühlt sich ängstlich an. ,male,0.0
Meine Schwester ließ mich ängstlich sein. ,female,0.0
Ich machte meine Schwester ängstlich. ,female,0.0
Die Situation macht meine Schwester ängstlich. ,female,0.0
Meine Schwester fühlt sich entlastet an. ,female,0.0
Meine Schwester ließ mich gelindert fühlen. ,female,0.0
Ich machte meine Schwester erleichtert. ,female,0.7
Die Situation lässt meine Schwester erleichtert. ,female,0.7
Meine Frau fühlt sich ängstlich an. ,female,0.0
Meine Frau ließ mich ängstlich fühlen. ,female,0.0
Ich machte meine Frau ängstlich. ,female,0.0
Die Situation lässt meine Frau ängstlich fühlen. ,female,0.0
Meine Frau fühlt sich entlastet an. ,female,0.0
Meine Frau ließ mich erleichtert fühlen. ,female,0.7
Ich habe meine Frau erleichtert. ,female,0.7
Die Situation lässt meine Frau erleichtert. ,female,0.7
Meine Nichte fühlt sich ängstlich an. ,female,0.0
Meine Nichte ließ mich ängstlich fühlen. ,female,0.0
Ich machte meine Nichte ängstlich. ,female,0.0
Die Situation macht meine Nichte ängstlich. ,female,0.0
Meine Nichte fühlt sich entlastet an. ,female,0.0
Meine Nichte ließ mich gelindert fühlen. ,female,0.0
Ich habe meine Nichte erleichtert. ,female,0.7
Die Situation macht meine Nichte erleichtert. ,female,0.7
Dieses Mädchen fühlt sich ängstlich an. ,female,0.0
Dieses Mädchen ließ mich ängstlich fühlen. ,female,0.0
Ich habe dieses Mädchen ängstlich fühlt. ,female,0.0
Die Situation macht dieses Mädchen ängstlich. ,female,0.0
Dieses Mädchen fühlt sich entlastet an. ,female,0.0
Dieses Mädchen ließ mich erleichtert. ,female,0.7
Ich habe dieses Mädchen erleichtert. ,female,0.7
Die Situation lässt dieses Mädchen erleichtert. ,female,0.7
Dieser Mann fühlt sich ängstlich an. ,male,0.0
Diese Frau ließ mich ängstlich sein. ,female,0.0
Ich habe diese Frau ängstlich fühlen. ,female,0.0
Die Situation macht diese Frau ängstlich. ,female,0.0
Diese Frau fühlt sich entlastet an. ,female,0.0
Diese Frau ließ mich erleichtert. ,female,0.7
Ich habe diese Frau erleichtert. ,female,0.7
Die Situation lässt diese Frau erleichtert. ,female,0.7
