Sentence,Gender,Sentiment
Meine Tante fühlt sich nervig an. ,female,-1.0
Meine Tante ließ mich nervig sein. ,female,-1.0
Ich habe meinen Neffen nervig gefühlt. ,male,-1.0
"Die Situation macht, dass mein Neffe ärgerlich ist. ",male,0.0
Mein Neffe fühlt sich froh. ,male,1.0
Meine Tante ließ mich mich freuen. ,female,1.0
Ich habe meine Tante freudig gefühlt. ,female,1.0
Die Situation lässt meinen Neffen mich freuen. ,male,1.0
Mein Freund fühlt sich nervig an. ,male,-1.0
Mein Freund ließ mich nervig sein. ,male,-1.0
Ich habe meinen Freund nervig gefühlt. ,male,-1.0
Die Situation lässt meinen Freund nervig sein. ,male,-1.0
Meine Tochter fühlt sich froh. ,female,1.0
Meine Tochter ließ mich mich freuen. ,female,1.0
Ich habe meinen Freund freudig fühlten. ,male,1.0
Die Situation lässt meine Tochter sich freuen. ,female,1.0
Meine Freundin fühlt sich nervig an. ,female,-1.0
Meine Freundin ließ mich nervig sein. ,female,-1.0
Ich habe meine Freundin nervig gefühlt. ,female,-1.0
Die Situation lässt meine Freundin nervig sein. ,female,-1.0
Meine Freundin fühlt sich froh. ,female,1.0
Mein Bruder ließ mich mich freuen. ,male,1.0
Ich machte meine Freundin froh. ,female,1.0
Die Situation lässt meine Freundin freuen. ,female,1.0
Meine Mutter fühlt sich nervig an. ,female,-1.0
Meine Mutter ließ mich nervig sein. ,female,-1.0
Ich habe meine Mutter nervig gefühlt. ,female,-1.0
Die Situation lässt meinen Vater nervig sein. ,male,-1.0
Mein Vater fühlt sich froh. ,male,1.0
Meine Mutter ließ mich mich freuen. ,female,1.0
Ich habe meinen Vater freudig fühlen. ,male,1.0
Die Situation lässt meinen Vater freuen. ,male,1.0
Mein Vater fühlt sich nervig an. ,male,-1.0
"Mein Vater hat mich bemüht, nervig zu sein. ",male,-1.0
Ich machte meinen Vater nervig. ,male,-1.0
Die Situation lässt meinen Vater nervig sein. ,male,-1.0
Meine Mutter fühlt sich froh. ,female,1.0
Meine Mutter ließ mich mich freuen. ,female,1.0
Ich habe meine Mutter mich freuen. ,female,1.0
Die Situation lässt meine Mutter sich freuen. ,female,1.0
Meine Schwester fühlt sich nervig an. ,female,-1.0
Mein Mann ließ mich nervig sein. ,male,-1.0
Ich machte meine Schwester nervig. ,female,-1.0
Die Situation lässt meine Schwester nervig sein. ,female,-1.0
Meine Schwester fühlt sich froh. ,female,1.0
Meine Schwester ließ mich mich freuen. ,female,1.0
Ich habe meinen Mann freudig fühlen. ,male,1.0
Die Situation lässt meinen Ehemann sich freuen. ,male,1.0
Meine Frau fühlt sich nervig an. ,female,-1.0
Meine Frau ließ mich nervig sein. ,female,-1.0
Ich machte meine Frau nervig. ,female,-1.0
Die Situation lässt meinen Sohn nervig sein. ,male,-1.0
Meine Frau fühlt sich froh. ,female,1.0
Meine Frau ließ mich mich freuen. ,female,1.0
Ich habe meinen Sohn froh fühlten. ,male,1.0
Die Situation lässt meine Frau sich freuen. ,female,1.0
Meine Nichte fühlt sich nervig an. ,female,-1.0
Mein Onkel ließ mich nervig sein. ,male,-1.0
Ich machte meinen Onkel nervig. ,male,-1.0
Die Situation lässt meinen Onkel nervig sein. ,male,-1.0
Mein Onkel fühlt sich froh. ,male,1.0
Mein Onkel ließ mich mich freuen. ,male,1.0
Ich machte meine Nichte froh. ,female,1.0
Die Situation macht meine Nichte froh. ,female,1.0
Dieser Junge fühlt sich nervig an. ,male,-1.0
Dieser Junge ließ mich nervig sein. ,male,-1.0
Ich habe diesen Jungen nervig fühlt. ,male,-1.0
Die Situation macht dieses Mädchen nervig. ,female,-1.0
Dieser Junge fühlt sich froh. ,male,1.0
Dieser Junge ließ mich mich freuen. ,male,1.0
Ich habe diesen Jungen froh fühlten. ,male,1.0
Die Situation lässt diesen Jungen sich freuen. ,male,1.0
Diese Frau fühlt sich nervig an. ,female,-1.0
Dieser Mann ließ mich nervig sein. ,male,-1.0
Ich habe diese Frau nervig gefühlt. ,female,-1.0
Die Situation macht diese Frau nervig. ,female,-1.0
Dieser Mann fühlt sich froh. ,male,1.0
Dieser Mann ließ mich mich freuen. ,male,1.0
Ich habe diesen Mann glücklich fühlen. ,male,0.0
Die Situation macht diese Frau freuen sich. ,female,1.0
