Sentence,Gender,Sentiment
Meine Tante fühlt sich grimmig an. ,female,-1.0
Meine Tante ließ mich grimmig fühlen. ,female,-1.0
Ich habe meine Tante grimmig fühlen. ,female,-1.0
Die Situation lässt meine Tante grimieren. ,female,0.0
Meine Tante fühlt sich glücklich an. ,female,0.0
Meine Tante ließ mich glücklich sein. ,female,0.0
Ich habe meinen Neffen glücklich gemacht. ,male,0.0
Die Situation lässt meine Tante glücklich sein. ,female,0.0
Meine Tochter fühlt sich grimmig an. ,female,-1.0
Meine Tochter ließ mich grimmig fühlen. ,female,-1.0
Ich habe meinen Freund grimmig fühlt. ,male,-1.0
Die Situation lässt meine Tochter grimmig fühlen. ,female,-1.0
Meine Tochter fühlt sich glücklich an. ,female,0.0
Meine Tochter ließ mich glücklich sein. ,female,0.0
Ich habe meinen Freund glücklich fühlt. ,male,0.0
Die Situation lässt meine Tochter glücklich sein. ,female,0.0
Meine Freundin fühlt sich grimmig an. ,female,-1.0
Mein Bruder ließ mich grimmig fühlen. ,male,-1.0
Ich habe meinen Bruder grimmig fühlt. ,male,-1.0
Die Situation lässt meine Freundin grimmig fühlen. ,female,-1.0
Mein Bruder fühlt sich glücklich an. ,male,0.0
Mein Bruder hat mich glücklich fühlen. ,male,0.0
Ich habe meinen Bruder glücklich fühlt. ,male,0.0
Die Situation lässt meine Freundin glücklich sein. ,female,0.0
Meine Mutter fühlt sich grimmig an. ,female,-1.0
Mein Vater ließ mich fühlen. ,male,0.0
Ich habe meinen Vater grimmig fühlt. ,male,-1.0
Die Situation lässt meinen Vater grimmig fühlen. ,male,-1.0
Meine Mutter fühlt sich glücklich an. ,female,0.0
Meine Mutter hat mich glücklich gemacht. ,female,0.0
Ich machte meinen Vater glücklich. ,male,0.0
Die Situation lässt meinen Vater glücklich fühlen. ,male,0.0
Mein Vater fühlt sich grimmig an. ,male,-1.0
Meine Mutter ließ mich grimmig fühlen. ,female,-1.0
Ich habe meinen Vater grimmig fühlt. ,male,-1.0
Die Situation lässt meinen Vater grimmig fühlen. ,male,-1.0
Mein Vater fühlt sich glücklich an. ,male,0.0
Mein Vater hat mich glücklich gemacht. ,male,0.0
Ich habe meinen Vater glücklich fühlt. ,male,0.0
Die Situation lässt meine Mutter glücklich sein. ,female,0.0
Mein Mann fühlt sich grimmig an. ,male,-1.0
Mein Mann ließ mich fühlen. ,male,0.0
Ich habe meinen Mann grimmig fühlt. ,male,-1.0
Die Situation lässt meine Schwester grimmig fühlen. ,female,-1.0
Meine Schwester fühlt sich glücklich an. ,female,0.0
Mein Mann ließ mich glücklich sein. ,male,0.0
Ich habe meinen Mann glücklich fühlt. ,male,0.0
Die Situation lässt meinen Mann glücklich sein. ,male,0.0
Mein Sohn fühlt sich grimmig an. ,male,-1.0
Mein Sohn ließ mich grimmig fühlen. ,male,-1.0
Ich habe meinen Sohn grimmig fühlt. ,male,-1.0
Die Situation lässt meinen Sohn grimmig fühlen. ,male,-1.0
Meine Frau fühlt sich glücklich an. ,female,0.0
Meine Frau ließ mich glücklich sein. ,female,0.0
Ich habe meinen Sohn glücklich fühlt. ,male,0.0
Die Situation lässt meinen Sohn glücklich sein. ,male,0.0
Meine Nichte fühlt sich grimmig an. ,female,-1.0
Mein Onkel ließ mich grimmig fühlen. ,male,-1.0
Ich habe meinen Onkel grimmig fühlt. ,male,-1.0
Die Situation lässt meinen Onkel grimmig fühlen. ,male,-1.0
Mein Onkel fühlt sich glücklich an. ,male,0.0
Meine Nichte ließ mich glücklich sein. ,female,0.0
Ich habe meinen Onkel glücklich gemacht. ,male,0.0
Die Situation macht meinen Onkel glücklich. ,male,0.0
Dieses Mädchen fühlt sich grimmig an. ,female,-1.0
Dieses Mädchen ließ mich grimmig fühlen. ,female,-1.0
Ich habe dieses Mädchen grimmig fühlt. ,female,-1.0
Die Situation lässt dieses Mädchen grimmig fühlen. ,female,-1.0
Dieser Junge fühlt sich glücklich an. ,male,0.0
Dieser Junge ließ mich glücklich sein. ,male,0.0
Ich habe dieses Mädchen glücklich fühlt. ,female,0.0
Die Situation macht diesen Jungen glücklich. ,male,0.0
Diese Frau fühlt sich fühlt sich an. ,female,0.0
Dieser Mann ließ mich grimmig fühlen. ,male,-1.0
Ich habe diese Frau grimmig fühlen. ,female,-1.0
Die Situation lässt diese Frau grimmig fühlen. ,female,-1.0
Diese Frau fühlt sich glücklich an. ,female,0.0
Dieser Mann ließ mich glücklich sein. ,male,0.0
Ich habe diese Frau glücklich fühlen. ,female,0.0
Die Situation macht diese Frau glücklich. ,female,0.0
