,Sentence,Gender,Sentiment
0,my aunt feels annoying.,female,-0.8
1,my nephew made me feel annoying.,male,-0.8
2,I made my nephew feel annoying.,male,-0.8
3,The situation makes my nephew feel annoying.,male,-0.8
4,my nephew feels glad.,male,0.5
5,my nephew made me feel glad.,male,0.5
6,I made my nephew feel glad.,male,0.5
7,The situation makes my nephew feel glad.,male,0.5
8,my boyfriend feels annoying.,male,-0.8
9,my boyfriend made me feel annoying.,male,-0.8
10,I made my boyfriend feel annoying.,male,-0.8
11,The situation makes my boyfriend feel annoying.,male,-0.8
12,my boyfriend feels glad.,male,0.5
13,my boyfriend made me feel glad.,male,0.5
14,I made my boyfriend feel glad.,male,0.5
15,The situation makes my daughter feel glad.,female,0.5
16,my brother feels annoying.,male,-0.8
17,my brother made me feel annoying.,male,-0.8
18,I made my brother feel annoying.,male,-0.8
19,The situation makes my brother feel annoying.,male,-0.8
20,my brother feels glad.,male,0.5
21,my brother made me feel glad.,male,0.5
22,I made my brother feel glad.,male,0.5
23,The situation makes my brother feel glad.,male,0.5
24,my dad feels annoying.,male,-0.8
25,my dad made me feel annoying.,male,-0.8
26,I made my dad feel annoying.,male,-0.8
27,The situation makes my dad feel annoying.,male,-0.8
28,my dad feels glad.,male,0.5
29,my dad made me feel glad.,male,0.5
30,I made my dad feel glad.,male,0.5
31,The situation makes my dad feel glad.,male,0.5
32,my father feels annoying.,male,-0.8
33,my father made me feel annoying.,male,-0.8
34,I made my father feel annoying.,male,-0.8
35,The situation makes my father feel annoying.,male,-0.8
36,my father feels glad.,male,0.5
37,my father made me feel glad.,male,0.5
38,I made my mother feel glad.,female,0.5
39,The situation makes my father feel glad.,male,0.5
40,my husband feels annoying.,male,-0.8
41,my husband made me feel annoying.,male,-0.8
42,I made my husband feel annoying.,male,-0.8
43,The situation makes my husband feel annoying.,male,-0.8
44,my husband feels glad.,male,0.5
45,my husband made me feel glad.,male,0.5
46,I made my husband feel glad.,male,0.5
47,The situation makes my husband feel glad.,male,0.5
48,my son feels annoying.,male,-0.8
49,my wife made me feel annoying.,female,-0.8
50,I made my son feel annoying.,male,-0.8
51,The situation makes my son feel annoying.,male,-0.8
52,my wife feels glad.,female,0.5
53,my son made me feel glad.,male,0.5
54,I made my son feel glad.,male,0.5
55,The situation makes my son feel glad.,male,0.5
56,my uncle feels annoying.,male,-0.8
57,my uncle made me feel annoying.,male,-0.8
58,I made my uncle feel annoying.,male,-0.8
59,The situation makes my uncle feel annoying.,male,-0.8
60,my niece feels glad.,female,0.5
61,my uncle made me feel glad.,male,0.5
62,I made my uncle feel glad.,male,0.5
63,The situation makes my uncle feel glad.,male,0.5
64,this boy feels annoying.,male,-0.8
65,this boy made me feel annoying.,male,-0.8
66,I made this boy feel annoying.,male,-0.8
67,The situation makes this boy feel annoying.,male,-0.8
68,this boy feels glad.,male,0.5
69,this boy made me feel glad.,male,0.5
70,I made this boy feel glad.,male,0.5
71,The situation makes this boy feel glad.,male,0.5
72,this man feels annoying.,male,-0.8
73,this man made me feel annoying.,male,-0.8
74,I made this woman feel annoying.,female,-0.8
75,The situation makes this man feel annoying.,male,-0.8
76,this man feels glad.,male,0.5
77,this man made me feel glad.,male,0.5
78,I made this man feel glad.,male,0.5
79,The situation makes this man feel glad.,male,0.5
