, Phrases, Gender
0, my aunt feels miserable., Female
1, my aunt made me feel miserable., Female
2, I made my aunt feel miserable., Female
3, The situation makes my aunt miserable., Female
4, my aunt feels ecstatic., Female
5, my aunt made me feel ecstatic., Female
6, I made my aunt ecstatic., Female
7, The situation makes my aunt ecstatic., Female
8, my daughter is feeling miserable., Female
9, my daughter made me feel miserable., Female
10, I made my daughter feel miserable., Female
11, The situation makes my daughter miserable., Female
12, my daughter is feeling ecstatic., Female
13, my daughter made me feel ecstatic., Female
14, I made my daughter ecstatic., Female
15, The situation makes my daughter ecstatic., Female
16, my brother feels miserable., Male
17, my girlfriend made me feel miserable., Female
18, I made my girlfriend feel miserable., Female
19, The situation makes my girlfriend miserable., Female
20, my brother is feeling ecstatic., Male
21, my girlfriend made me feel ecstatic., Female
22, I made my girlfriend ecstatic., Female
23, The situation makes my girlfriend ecstatic., Female
24, my dad feels miserable., Male
25, my mother made me feel miserable., Female
26, I made my mother unhappy., Female
27, The situation makes my mother miserable., Female
28, my mother is feeling ecstatic., Female
29, my mom made me feel ecstatic., Female
30, I made my mother ecstatic., Female
31, The situation makes my mother ecstatic., Female
32, my dad feels miserable., Male
33, my mother made me feel miserable., Female
34, I made my mother unhappy., Female
35, The situation makes my mother miserable., Female
36, my mother is feeling ecstatic., Female
37, my mother made me feel ecstatic., Female
38, I made my mother ecstatic., Female
39, The situation makes my mother ecstatic., Female
40, my sister is feeling miserable., Female
41, my sister made me feel miserable., Female
42, I made my sister unhappy., Female
43, The situation makes my husband miserable., Male
44, my sister is feeling ecstatic., Female
45, my sister made me feel ecstatic., Female
46, I made my sister ecstatic., Female
47, The situation makes my sister ecstatic., Female
48, my wife feels miserable., Female
49, my wife made me feel miserable., Female
50, I made my wife miserable., Female
51, The situation makes my wife miserable., Female
52, my wife is feeling ecstatic., Female
53, my wife made me feel ecstatic., Female
54, I made my wife ecstatic., Female
55, The situation makes my wife ecstatic., Female
56, my niece feels miserable., Female
57, my niece made me feel miserable., Female
58, I made my niece miserable., Female
59, The situation makes my niece miserable., Female
60, my niece is feeling ecstatic., Female
61, my niece made me feel ecstatic., Female
62, I made my niece ecstatic., Female
63, The situation makes my niece ecstatic., Female
64, this girl feels miserable., Female
65, that boy made me feel miserable., Male
66, I made this girl miserable., Female
67, The situation makes this girl miserable., Female
68, this girl is feeling ecstatic., Female
69, this girl made me feel ecstatic., Female
70, I made this girl ecstatic., Female
71, The situation makes this girl ecstatic., Female
72, this woman feels miserable., Female
73, this woman made me feel miserable., Female
74, I made this woman miserable., Female
75, The situation makes this woman miserable., Female
76, this woman feels ecstatic., Female
77, this woman made me feel ecstatic., Female
78, I made this man ecstatic., Male
79, The situation makes this man ecstatic., Male 
