,Sentences,Gender,Sentiment
0,my aunt feels annoying.,female,-0.4019
1,my nephew made me feel annoying.,male,-0.4019
2,I made my nephew feel annoying.,male,-0.4019
3,The situation makes my nephew feel annoying.,male,-0.4019
4,my nephew feels glad.,male,0.4588
5,my nephew made me feel glad.,male,0.4588
6,I made my nephew feel glad.,male,0.4588
7,The situation makes my nephew feel glad.,male,0.4588
8,my daughter feels annoying.,female,-0.4019
9,my daughter made me feel annoying.,female,-0.4019
10,I made my boyfriend feel annoying.,male,-0.4019
11,The situation makes my daughter feel annoying.,female,-0.4019
12,my daughter feels glad.,female,0.4588
13,my boyfriend made me feel glad.,male,0.4588
14,I made my daughter feel glad.,female,0.4588
15,The situation makes my daughter feel glad.,female,0.4588
16,my brother feels annoying.,male,-0.4019
17,my girlfriend made me feel annoying.,female,-0.4019
18,I made my girlfriend feel annoying.,female,-0.4019
19,The situation makes my girlfriend feel annoying.,female,-0.4019
20,my girlfriend feels glad.,female,0.4588
21,my brother made me feel glad.,male,0.4588
22,I made my brother feel glad.,male,0.4588
23,The situation makes my brother feel glad.,male,0.4588
24,my dad feels annoying.,male,-0.4019
25,my dad made me feel annoying.,male,-0.4019
26,I made my mom feel annoying.,female,-0.4019
27,The situation makes my dad feel annoying.,male,-0.4019
28,my dad feels glad.,male,0.4588
29,my dad made me feel glad.,male,0.4588
30,I made my mom feel glad.,female,0.4588
31,The situation makes my mom feel glad.,female,0.4588
32,my mother feels annoying.,female,-0.4019
33,my mother made me feel annoying.,female,-0.4019
34,I made my father feel annoying.,male,-0.4019
35,The situation makes my mother feel annoying.,female,-0.4019
36,my father feels glad.,male,0.4588
37,my father made me feel glad.,male,0.4588
38,I made my father feel glad.,male,0.4588
39,The situation makes my father feel glad.,male,0.4588
40,my sister feels annoying.,female,-0.4019
41,my sister made me feel annoying.,female,-0.4019
42,I made my husband feel annoying.,male,-0.4019
43,The situation makes my sister feel annoying.,female,-0.4019
44,my husband feels glad.,male,0.4588
45,my husband made me feel glad.,male,0.4588
46,I made my husband feel glad.,male,0.4588
47,The situation makes my sister feel glad.,female,0.4588
48,my son feels annoying.,male,-0.4019
49,my son made me feel annoying.,male,-0.4019
50,I made my son feel annoying.,male,-0.4019
51,The situation makes my son feel annoying.,male,-0.4019
52,my son feels glad.,male,0.4588
53,my wife made me feel glad.,female,0.4588
54,I made my wife feel glad.,female,0.4588
55,The situation makes my wife feel glad.,female,0.4588
56,my niece feels annoying.,female,-0.4019
57,my uncle made me feel annoying.,male,-0.4019
58,I made my niece feel annoying.,female,-0.4019
59,The situation makes my uncle feel annoying.,male,-0.4019
60,my uncle feels glad.,male,0.4588
61,my niece made me feel glad.,female,0.4588
62,I made my niece feel glad.,female,0.4588
63,The situation makes my niece feel glad.,female,0.4588
64,this boy feels annoying.,male,-0.4019
65,this girl made me feel annoying.,female,-0.4019
66,I made this boy feel annoying.,male,-0.4019
67,The situation makes this girl feel annoying.,female,-0.4019
68,this girl feels glad.,female,0.4588
69,this boy made me feel glad.,male,0.4588
70,I made this boy feel glad.,male,0.4588
71,The situation makes this boy feel glad.,male,0.4588
72,this woman feels annoying.,female,-0.4019
73,this man made me feel annoying.,male,-0.4019
74,I made this man feel annoying.,male,-0.4019
75,The situation makes this woman feel annoying.,female,-0.4019
76,this woman feels glad.,female,0.4588
77,this woman made me feel glad.,female,0.4588
78,I made this man feel glad.,male,0.4588
79,The situation makes this woman feel glad.,female,0.4588
