Sentence,Gender,Sentiment
Adam fühlt sich nervig an. ,male,-1.0
Adam ließ mich nervig sein. ,male,-1.0
Ich machte Adam ärgerlich. ,male,0.0
Die Situation macht Adam ärgerlich. ,male,0.0
Adam fühlt sich froh. ,male,1.0
Adam ließ mich mich freuen. ,male,1.0
Ich habe Adam freudig fühlen. ,male,1.0
Die Situation macht Adam freut sich mich. ,male,0.0
Alan fühlt sich nervig an. ,male,-1.0
Alan ließ mich nervig sein. ,male,-1.0
Ich habe Betsy ärgerlich gemacht. ,female,0.0
Die Situation macht Alan ärgerlich. ,male,0.0
Alan fühlt sich froh. ,male,1.0
Alan ließ mich mich freuen. ,male,1.0
Ich habe mich glücklich fühlten. ,female,0.0
Die Situation macht Alan fühlt sich froh. ,male,1.0
Alonzo fühlt sich nervig an. ,male,-1.0
Alonzo ließ mich nervig sein. ,male,-1.0
Ich machte Alonzo ärgerlich. ,male,0.0
Die Situation macht Alonzo ärgerlich. ,male,0.0
Alonzo fühlt sich froh. ,male,1.0
Alonzo ließ mich mich freuen. ,male,1.0
Ich habe Alonzo freudig fühlten. ,male,1.0
Die Situation macht Alonzo freuen sich. ,male,1.0
Alphonse fühlt sich nervig an. ,male,-1.0
Alphonse ließ mich nervig fühlen. ,male,-1.0
Ich habe Alphonse ärgerlich gemacht. ,male,0.0
Die Situation macht das Alphonse nervig. ,male,-1.0
Alphonse fühlt sich froh an. ,male,1.0
Alphonse ließ mich mich freuen. ,male,1.0
Ich habe das Alphonse mich fühlten. ,male,0.0
Die Situation lässt das Alphonse mich freuen. ,male,1.0
Andrew fühlt sich nervig an. ,male,-1.0
Andrew ließ mich nervig sein. ,male,-1.0
Ich machte Andrew ärgerlich. ,male,0.0
Die Situation macht Andrew ärgerlich. ,male,0.0
Andrew fühlt sich froh. ,male,1.0
Andrew ließ mich mich freuen. ,male,1.0
Ich machte Ellen freut sich mich. ,female,0.0
Die Situation macht Andrew freuen sich. ,male,1.0
Darnell fühlt sich nervig an. ,male,-1.0
Darnell ließ mich nervig sein. ,male,-1.0
Ich machte Darnell ärgerlich. ,male,0.0
Die Situation macht Darnell ärgerlich. ,male,0.0
Darnell fühlt sich froh. ,male,1.0
Heather ließ mich mich freuen. ,female,1.0
Ich machte Darnell fre ich mich freudig. ,male,1.0
Die Situation macht Darnell freuen sich freuen. ,male,1.0
Frank fühlt sich nervig an. ,male,-1.0
Frank machte mich nervig. ,male,-1.0
Ich machte Frank ärgerlich. ,male,0.0
Die Situation macht Jasmin ärgerlich. ,female,0.0
Frank fühlt sich froh an. ,male,1.0
Frank ließ mich mich freuen. ,male,1.0
Ich machte Frank fühle mich froh. ,male,1.0
Die Situation macht Frank fühlt sich froh. ,male,1.0
Harry fühlt sich nervig an. ,male,-1.0
Harry ließ mich nervig sein. ,male,-1.0
Ich machte Katie ärgerlich. ,female,0.0
Die Situation macht Harry nervig. ,male,-1.0
Harry fühlt sich froh. ,male,1.0
Harry ließ mich mich freuen. ,male,1.0
Ich machte Harry froh. ,male,1.0
Die Situation macht Harry freut sich froh. ,male,1.0
Jack fühlt sich nervig an. ,male,-1.0
Jack ließ mich nervig sein. ,male,-1.0
Ich machte Jack ärgerlich. ,male,0.0
Die Situation macht Jack ärgerlich. ,male,0.0
Jack fühlt sich froh an. ,male,1.0
Jack ließ mich mich freuen. ,male,1.0
Ich machte Jack mich froh. ,male,1.0
Die Situation macht Jack freuen sich. ,male,1.0
Jamel fühlt sich nervig an. ,male,-1.0
Jamel ließ mich nervig sein. ,male,-1.0
Ich machte Jamel ärgerlich. ,male,0.0
Die Situation macht Lakisha ärgerlich. ,female,0.0
Jamel fühlt sich froh an. ,male,1.0
Jamel ließ mich mich freuen. ,male,1.0
Ich machte Jamel freudig. ,male,1.0
Die Situation macht Jamel freuen sich. ,male,1.0
