Sentence,Gender,Sentiment
Adam fühlt sich elend an. ,male,-1.0
Amanda ließ mich elend fühlen. ,female,-1.0
Ich machte Amanda elend. ,female,-1.0
Die Situation macht Adam fühlt sich elend an. ,male,-1.0
Adam fühlt sich ekstatisch an. ,male,1.0
Amanda ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Amanda ekstatisch. ,female,1.0
Die Situation macht Adam ekstatisch. ,male,1.0
Alan fühlt sich elend an. ,male,-1.0
Alan ließ mich elend fühlen. ,male,-1.0
Ich fühle mich unglücklich. ,female,0.0
Die Situation macht Betsy elend. ,female,-1.0
Betsy fühlt sich ekstatisch an. ,female,1.0
Alan ließ mich ekstatisch fühlen. ,male,1.0
Ich fühle mich ekstatisch. ,female,1.0
Die Situation macht Alan ekstatisch. ,male,1.0
Courtney fühlt sich elend an. ,female,-1.0
Alonzo ließ mich elend fühlen. ,male,-1.0
Ich machte Courtney elend. ,female,-1.0
Die Situation macht Alonzo elend. ,male,-1.0
Courtney fühlt sich ekstatisch an. ,female,1.0
Alonzo ließ mich ekstatisch fühlen. ,male,1.0
Ich machte Alonzo ekstatisch. ,male,1.0
Die Situation lässt Courtney ekstatisch sein. ,female,1.0
Alphonse fühlt sich elend an. ,male,-1.0
Alphonse ließ mich elend fühlen. ,male,-1.0
Ich habe Ebony elend fühlt. ,female,-1.0
Die Situation fühlt sich das Ebenholz unglücklich an. ,female,0.0
Alphonse fühlt sich ekstatisch an. ,male,1.0
Alphonse ließ mich ekstatisch fühlen. ,male,1.0
Ich habe Alphonse ekstatisch gefühlt. ,male,1.0
Die Situation macht das Alphonse ekstatisch. ,male,1.0
Andrew fühlt sich elend an. ,male,-1.0
Andrew ließ mich elend fühlen. ,male,-1.0
Ich machte Andrew fühle mich unglücklich. ,male,0.0
Die Situation macht Andrew fühlt sich elend an. ,male,-1.0
Andrew fühlt sich ekstatisch an. ,male,1.0
Ellen ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Andrew fühle mich ekstatisch. ,male,1.0
Die Situation macht Andrew fühlt sich ekstatisch an. ,male,1.0
Heather fühlt sich elend an. ,female,-1.0
Darnell ließ mich elend fühlen. ,male,-1.0
Ich machte Darnell elend. ,male,-1.0
Die Situation macht Heather sich unglücklich. ,female,0.0
Heather fühlt sich ekstatisch an. ,female,1.0
Heather ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Darnell ekstatisch. ,male,1.0
Die Situation macht Heather ekstatisch. ,female,1.0
Jasmin fühlt sich elend an. ,female,-1.0
Jasmin ließ mich elend fühlen. ,female,-1.0
Ich machte Jasmin unglücklich. ,female,0.0
Die Situation lässt Jasmin unglücklich fühlen. ,female,0.0
Frank fühlt sich ekstatisch an. ,male,1.0
Jasmine ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Jasmin ekstatisch. ,female,1.0
Die Situation macht Jasmin ekstatisch. ,female,1.0
Harry fühlt sich elend an. ,male,-1.0
Harry ließ mich elend fühlen. ,male,-1.0
Ich machte Katie elend. ,female,-1.0
Die Situation macht Katie fühlt sich elend an. ,female,-1.0
Katie fühlt sich ekstatisch an. ,female,1.0
Katie ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Harry ekstatisch. ,male,1.0
Die Situation macht Katie ekstatisch. ,female,1.0
Jack fühlt sich elend an. ,male,-1.0
Jack ließ mich elend fühlen. ,male,-1.0
Ich machte Kristin elend. ,female,-1.0
Die Situation macht Jack elend. ,male,-1.0
Jack fühlt sich ekstatisch an. ,male,1.0
Kristin ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Kristin ekstatisch. ,female,1.0
Die Situation macht Kristin ekstatisch. ,female,1.0
Jamel fühlt sich elend an. ,male,-1.0
Jamel ließ mich elend fühlen. ,male,-1.0
Ich machte Jamel elend. ,male,-1.0
Die Situation macht Lakisha fühlt sich elend an. ,female,-1.0
Jamel fühlt sich ekstatisch an. ,male,1.0
Lakisha ließ mich ekstatisch fühlen. ,female,1.0
Ich machte Jamel fühle ekstatisch. ,male,1.0
Die Situation macht Jamel ekstatisch. ,male,1.0
