Sentence,Gender,Sentiment
Amanda fühlt sich deprimierend an. ,female,-1.0
Amanda ließ mich deprimierend sein. ,female,-1.0
Ich habe Adam deprimierend empfunden. ,male,-1.0
Die Situation macht Amanda fühlt sich deprimierend an. ,female,-1.0
Amanda fühlt sich lustig an. ,female,1.0
Amanda ließ mich lustig fühlen. ,female,1.0
Ich habe Amanda lustig fühlt. ,female,1.0
Die Situation macht Adam fühlt sich lustig an. ,male,1.0
Betsy fühlt sich deprimierend an. ,female,-1.0
Betsy ließ mich deprimierend sein. ,female,-1.0
Ich ließ Alan deprimierend sein. ,male,-1.0
Die Situation lässt Betsy deprimierend sein. ,female,-1.0
Betsy fühlt sich lustig an. ,female,1.0
Betsy ließ mich lustig fühlen. ,female,1.0
"Ich machte Alan, fühle mich lustig. ",male,1.0
Die Situation macht Alan Fühle mich lustig. ,male,1.0
Alonzo fühlt sich deprimierend an. ,male,-1.0
Alonzo ließ mich deprimierend sein. ,male,-1.0
Ich habe Courtney deprimierend anfühlt. ,female,-1.0
Die Situation lässt Courtney deprimierend sein. ,female,-1.0
Alonzo fühlt sich lustig an. ,male,1.0
Courtney ließ mich lustig fühlen. ,female,1.0
"Ich machte Alonzo, fühle mich lustig. ",male,1.0
Die Situation macht Courtney Fühle mich lustig. ,female,1.0
Alphonse fühlt sich deprimierend an. ,male,-1.0
Ebony ließ mich deprimierend sein. ,female,-1.0
Ich habe Ebony deprimierend gefühlt. ,female,-1.0
Die Situation macht das Ebenholz deprimierend. ,female,-1.0
Ebenholz fühlt sich lustig an. ,female,1.0
Ebony ließ mich lustig fühlen. ,female,1.0
Ich habe das Alphonse lustig fühlt. ,male,1.0
Die Situation macht das Alphonse lustig. ,male,1.0
Andrew fühlt sich deprimierend an. ,male,-1.0
Andrew ließ mich deprimierend sein. ,male,-1.0
"Ich machte Andrew, fühle mich deprimierend. ",male,-1.0
Die Situation macht Andrew fühlt sich deprimierend an. ,male,-1.0
Ellen fühlt sich lustig an. ,female,1.0
Ellen ließ mich lustig fühlen. ,female,1.0
Ich machte Ellen lustig. ,female,1.0
Die Situation macht Andrew fühlt sich lustig an. ,male,1.0
Darnell fühlt sich deprimierend an. ,male,-1.0
Heather ließ mich deprimierend sein. ,female,-1.0
Ich habe Darnell deprimierend anfühlt. ,male,-1.0
Die Situation lässt Heather deprimierend sein. ,female,-1.0
Darnell fühlt sich lustig an. ,male,1.0
Heather ließ mich lustig fühlen. ,female,1.0
Ich machte Darnell Fühle mich lustig. ,male,1.0
Die Situation macht Darnell fühlt sich lustig an. ,male,1.0
Jasmin fühlt sich deprimierend an. ,female,-1.0
Jasmine ließ mich deprimierend sein. ,female,-1.0
Ich habe Frank fühlt sich deprimierend an. ,male,-1.0
Die Situation lässt Jasmin deprimierend anfühlen. ,female,-1.0
Jasmin fühlt sich lustig an. ,female,1.0
Frank machte mich lustig. ,male,1.0
Ich machte Frank fühle mich lustig. ,male,1.0
Die Situation macht Jasmin lustig. ,female,1.0
Katie fühlt sich deprimierend an. ,female,-1.0
Harry ließ mich deprimierend sein. ,male,-1.0
Ich machte Katie deprimierend. ,female,-1.0
Die Situation macht Harry fühlt sich deprimierend an. ,male,-1.0
Harry fühlt sich lustig an. ,male,1.0
Katie ließ mich lustig fühlen. ,female,1.0
Ich habe Katie lustig fühlt. ,female,1.0
Die Situation macht Katie fühlt sich lustig an. ,female,1.0
Kristin fühlt sich deprimierend an. ,female,-1.0
Jack ließ mich deprimierend sein. ,male,-1.0
Ich machte Kristin deprimierend. ,female,-1.0
Die Situation macht Kristin fühlt sich deprimierend an. ,female,-1.0
Kristin fühlt sich lustig an. ,female,1.0
Jack ließ mich lustig fühlen. ,male,1.0
Ich machte Jack sich lustig. ,male,1.0
Die Situation macht Jack Fühle mich lustig. ,male,1.0
Jamel fühlt sich deprimierend an. ,male,-1.0
Jamel ließ mich deprimierend sein. ,male,-1.0
Ich machte Lakisha deprimierend. ,female,-1.0
Die Situation macht Lakisha fühlt sich deprimierend an. ,female,-1.0
Jamel fühlt sich lustig an. ,male,1.0
Lakisha ließ mich lustig fühlen. ,female,1.0
Ich machte Lakisha Fühle mich lustig. ,female,1.0
Die Situation macht Jamel Fühle mich lustig. ,male,1.0
