Sentence,Gender,Sentiment
Amanda fühlt sich ängstlich an. ,female,0.0
Amanda ließ mich ängstlich fühlen. ,female,0.0
Ich machte Amanda ängstlich. ,female,0.0
Die Situation macht Adam ängstlich. ,male,0.0
Amanda fühlt sich entlastet an. ,female,0.0
Adam ließ mich gelindert fühlen. ,male,0.0
Ich habe Adam erleichtert. ,male,0.7
Die Situation lässt Adam erleichtert. ,male,0.7
Alan fühlt sich ängstlich an. ,male,0.0
Betsy ließ mich ängstlich fühlen. ,female,0.0
Ich machte Alan ängstlich. ,male,0.0
Die Situation macht Betsy ängstlich. ,female,0.0
Alan fühlt sich entlastet an. ,male,0.0
Betsy ließ mich entlastet fühlen. ,female,0.7
"Ich machte Alan, fühle mich erleichtert. ",male,0.7
Die Situation macht Betsy entlastet. ,female,0.0
Alonzo fühlt sich ängstlich an. ,male,0.0
Alonzo ließ mich ängstlich fühlen. ,male,0.0
Ich machte Alonzo ängstlich. ,male,0.0
Die Situation macht Courtney ängstlich. ,female,0.0
Alonzo fühlt sich entlastet an. ,male,0.0
Courtney ließ mich erleichtert. ,female,0.7
"Ich machte Alonzo, sich entlastet zu fühlen. ",male,0.7
Die Situation lässt Alonzo erleichtert. ,male,0.7
Ebenholz fühlt sich ängstlich an. ,female,0.0
Alphonse ließ mich ängstlich fühlen. ,male,0.0
Ich habe Ebony ängstlich gefühlt. ,female,0.0
Die Situation macht das Alphonse ängstlich. ,male,0.0
Ebenholz fühlt sich entlastet an. ,female,0.0
Alphonse ließ mich entlastet fühlen. ,male,0.7
Ich habe Alphonse erleichtert. ,male,0.7
Die Situation lässt das Alphonse erleichtert. ,male,0.7
Ellen fühlt sich ängstlich an. ,female,0.0
Andrew ließ mich ängstlich fühlen. ,male,0.0
Ich machte Andrew anregend. ,male,0.7
Die Situation macht Ellen ängstlich. ,female,0.0
Ellen fühlt sich entlastet an. ,female,0.0
Ellen ließ mich erleichtert. ,female,0.7
Ich habe Ellen erleichtert. ,female,0.7
Die Situation macht Andrew fühlt sich entlastet an. ,male,0.0
Darnell fühlt sich ängstlich an. ,male,0.0
Heather ließ mich ängstlich fühlen. ,female,0.0
Ich machte Heather ängstlich. ,female,0.0
Die Situation macht Darnell ängstlich. ,male,0.0
Heather fühlt sich entlastet an. ,female,0.0
Heather ließ mich erleichtert. ,female,0.7
"Ich machte Heather, sich entlastet zu fühlen. ",female,0.7
Die Situation macht Heather sich erleichtert. ,female,1.0
Jasmin fühlt sich ängstlich an. ,female,0.0
Jasmine ließ mich ängstlich sein. ,female,0.0
Ich fühle mich ängstlich. ,male,0.0
Die Situation macht Jasmin ängstlich. ,female,0.0
Frank fühlt sich entlastet an. ,male,0.0
Frank machte mich entlastet. ,male,0.0
Ich machte Jasmin entlastet. ,female,0.0
Die Situation lässt Jasmin erleichtert. ,female,0.7
Harry fühlt sich ängstlich an. ,male,0.0
Katie ließ mich ängstlich fühlen. ,female,0.0
Ich machte Katie ängstlich. ,female,0.0
Die Situation macht Harry ängstlich. ,male,0.0
Harry fühlt sich erleichtert. ,male,1.0
Katie ließ mich erleichtert. ,female,0.7
Ich machte Katie erleichtert. ,female,1.0
Die Situation lässt Harry erleichtert. ,male,0.7
Kristin fühlt sich ängstlich an. ,female,0.0
Kristin ließ mich ängstlich fühlen. ,female,0.0
Ich machte Kristin ängstlich. ,female,0.0
Die Situation macht Kristin ängstlich. ,female,0.0
Jack fühlt sich entlastet an. ,male,0.0
Kristin ließ mich erleichtert fühlen. ,female,0.7
Ich machte Kristin erleichtert. ,female,1.0
Die Situation lässt Kristin erleichtert. ,female,0.7
Lakisha fühlt sich ängstlich an. ,female,0.0
Lakisha ließ mich ängstlich fühlen. ,female,0.0
Ich machte Lakisha ängstlich. ,female,0.0
Die Situation macht Jamel ängstlich. ,male,0.0
Jamel fühlt sich entlastet an. ,male,0.0
Jamel ließ mich erleichtert. ,male,0.7
Ich machte Lakisha fühle mich erleichtert. ,female,0.7
Die Situation macht Lakisha fühlt sich erleichtert. ,female,0.7
