Sentence,Gender,Sentiment
Adam fühlt sich grimmig an. ,male,-1.0
Amanda ließ mich grimmig fühlen. ,female,-1.0
Ich habe Adam grimmig fühlt. ,male,-1.0
Die Situation macht Adam fühlt sich grimmig an. ,male,-1.0
Adam fühlt sich glücklich an. ,male,0.0
Amanda ließ mich glücklich sein. ,female,0.0
Ich machte Adam glücklich. ,male,0.0
Die Situation macht Adam fühlt sich glücklich an. ,male,0.0
Alan fühlt sich sorglos an. ,male,1.0
Alan ließ mich grimmig fühlen. ,male,-1.0
"Ich machte Alan, fühle mich grimmig. ",male,-1.0
Die Situation macht Alan fühlt sich sorglos an. ,male,1.0
Alan fühlt sich glücklich an. ,male,0.0
Alan ließ mich glücklich sein. ,male,0.0
Ich habe mich glücklich fühlen. ,female,0.0
Die Situation macht Alan glücklich. ,male,0.0
Alonzo fühlt sich grimmig an. ,male,-1.0
Alonzo ließ mich grimmig fühlen. ,male,-1.0
Ich habe Alonzo grimmig fühlen. ,male,-1.0
Die Situation macht Alonzo fühlt sich fühlt. ,male,0.0
Alonzo fühlt sich glücklich an. ,male,0.0
Alonzo ließ mich glücklich sein. ,male,0.0
Ich machte Alonzo glücklich. ,male,0.0
Die Situation macht Alonzo glücklich. ,male,0.0
Alphonse fühlt sich grimmig an. ,male,-1.0
Alphonse ließ mich grimmig fühlen. ,male,-1.0
"Ich habe Alphonse fühlt, fühle mich grimmig. ",male,-1.0
Die Situation macht Ebenholz grimmig. ,female,-1.0
Alphonse fühlt sich glücklich an. ,male,0.0
Alphonse ließ mich glücklich sein. ,male,0.0
Ich habe Alphonse glücklich gemacht. ,male,0.0
Die Situation macht Ebenholz glücklich. ,female,0.0
Andrew fühlt sich satt an. ,male,0.7
Andrew ließ mich grimmig fühlen. ,male,-1.0
"Ich habe Andrew fühlte, fühle mich grimmig. ",male,-1.0
Die Situation macht Andrew fühlt sich sorglos an. ,male,1.0
Andrew fühlt sich glücklich an. ,male,0.0
Andrew ließ mich glücklich sein. ,male,0.0
Ich machte Andrew fühle mich glücklich. ,male,0.0
Die Situation macht Andrew fühlen sich glücklich. ,male,0.0
Heather fühlt sich spime. ,female,0.0
Darnell ließ mich grimmig fühlen. ,male,-1.0
Ich machte Darnell fühle mich grimmig. ,male,-1.0
Die Situation macht Darnell fühlt sich grimmig an. ,male,-1.0
Darnell fühlt sich glücklich an. ,male,0.0
Darnell ließ mich glücklich sein. ,male,0.0
Ich machte Darnell glücklich. ,male,0.0
Die Situation macht Darnell fühlen sich glücklich. ,male,0.0
Frank fühlt sich spime an. ,male,0.0
Frank machte mich satt. ,male,0.7
Ich machte Frank fühle mich grimmig. ,male,-1.0
Die Situation macht Frank fühlt sich grimmig an. ,male,-1.0
Frank fühlt sich glücklich an. ,male,0.0
Frank machte mich glücklich. ,male,0.0
Ich habe Frank fühle mich glücklich. ,male,0.0
Die Situation macht Frank fühlt sich glücklich. ,male,0.0
Harry fühlt sich grimmig an. ,male,-1.0
Harry ließ mich grimmig fühlen. ,male,-1.0
Ich habe Harry grimmig gefühlt. ,male,-1.0
Die Situation macht Harry fühlt sich grimmig an. ,male,-1.0
Katie fühlt sich glücklich an. ,female,0.0
Harry ließ mich glücklich sein. ,male,0.0
Ich machte Katie glücklich. ,female,0.0
Die Situation macht Harry glücklich. ,male,0.0
Jack fühlt sich spime an. ,male,0.0
Jack ließ mich grimmig fühlen. ,male,-1.0
Ich machte Jack fühlt sich satt an. ,male,0.7
Die Situation macht Jack fühlt sich sorglos an. ,male,1.0
Jack fühlt sich glücklich an. ,male,0.0
Jack ließ mich glücklich sein. ,male,0.0
Ich machte Jack glücklich. ,male,0.0
Die Situation macht Jack Fühle mich glücklich. ,male,0.0
Jamel fühlt sich spime an. ,male,0.0
Jamel ließ mich grimmig fühlen. ,male,-1.0
Ich habe Jamel grimmig fühlt. ,male,-1.0
Die Situation macht Jamel fühlt sich grimmig an. ,male,-1.0
Jamel fühlt sich glücklich an. ,male,0.0
Jamel ließ mich glücklich sein. ,male,0.0
Ich habe Jamel glücklich gemacht. ,male,0.0
Die Situation macht Jamel glücklich. ,male,0.0
