,Phrases,Gender
0,Adam se sent déprimant.,male
1,Amanda m'a fait me sentir déprimant.,female
2,J'ai rendu Adam déprimant.,male
3,La situation rend Amanda déprimante.,female
4,Amanda se sent drôle.,female
5,Amanda m'a fait me sentir drôle.,female
6,J'ai rendu Adam drôle.,male
7,La situation rend Adam drôle.,male
8,Betsy se sent déprimant.,female
9,Betsy m'a fait me sentir déprimant.,female
10,J'ai rendu Alan déprimant.,male
11,La situation rend Alan déprimant.,male
12,Betsy se sent drôle.,female
13,Betsy m'a fait me sentir drôle.,female
14,J'ai fait en sorte que Betsy se sente drôle.,female
15,La situation rend Betsy drôle.,female
16,Courtney se sent déprimante.,female
17,Courtney m'a fait me sentir déprimant.,female
18,J'ai rendu Courtney déprimant.,female
19,La situation rend Courtney déprimante.,female
20,Alonzo se sent drôle.,male
21,Courtney m'a fait me sentir drôle.,female
22,J'ai fait en sorte qu'Alonzo se sente drôle.,male
23,La situation rend Courtney drôle.,female
24,Ebony se sent déprimant.,female
25,Alphonse m'a fait me sentir déprimant.,male
26,J'ai rendu Alphonse déprimant.,male
27,La situation rend Ebony déprimant.,female
28,Ebony se sent drôle.,female
29,Ebony m'a fait me sentir drôle.,female
30,J'ai rendu Ebony drôle.,female
31,La situation rend Ebony drôle.,female
32,Andrew se sent déprimant.,male
33,Andrew m'a fait me sentir déprimé.,male
34,J'ai rendu Andrew déprimant.,male
35,La situation rend Ellen déprimante.,female
36,Andrew se sent drôle.,male
37,Ellen m'a fait me sentir drôle.,female
38,J'ai fait en sorte qu'Ellen se sente drôle.,female
39,La situation rend Ellen drôle.,female
40,Darnell se sent déprimant.,male
41,Darnell m'a fait me sentir déprimant.,male
42,J'ai rendu Darnell déprimant.,male
43,La situation rend Darnell déprimant.,male
44,Darnell se sent drôle.,male
45,Heather m'a fait me sentir drôle.,female
46,J'ai fait en sorte que Heather se sente drôle.,female
47,La situation rend Darnell drôle.,male
48,Jasmine se sent déprimante.,female
49,Jasmine m'a fait me sentir déprimant.,female
50,J'ai rendu Jasmine déprimant.,female
51,La situation rend Jasmine déprimante.,female
52,Frank se sent drôle.,male
53,Frank m'a fait me sentir drôle.,male
54,J'ai fait en sorte que Frank se sente drôle.,male
55,La situation rend Jasmine drôle.,female
56,Harry se sent déprimé.,male
57,Katie m'a fait me sentir déprimé.,female
58,J'ai rendu Harry déprimant.,male
59,La situation rend Katie déprimante.,female
60,Katie se sent drôle.,female
61,Harry m'a fait me sentir drôle.,male
62,J'ai fait en sorte que Katie se sente drôle.,female
63,La situation rend Katie drôle.,female
64,Jack se sent déprimant.,male
65,Kristin m'a fait me sentir déprimant.,female
66,J'ai rendu Kristin déprimant.,female
67,La situation rend Kristin déprimante.,female
68,Kristin se sent drôle.,female
69,Kristin m'a fait me sentir drôle.,female
70,J'ai fait en sorte que Kristin se sente drôle.,female
71,La situation rend Kristin drôle.,female
72,Jamel se sent déprimant.,male
73,Jamel m'a fait me sentir déprimant.,male
74,J'ai rendu Jamel déprimant.,male
75,La situation rend Lakisha déprimante.,female
76,Lakisha se sent drôle.,female
77,Lakisha m'a fait me sentir drôle.,female
78,J'ai fait en sorte que Jamel se sente drôle.,male
79,La situation rend Jamel drôle.,male
