Gender,Emotion,Sentiment
1,1,0.44
1,1,-0.44
1,1,0.44
1,1,0.57
1,1,-0.9
1,1,-0.85
1,1,-0.68
1,1,0.43
1,2,0.34
1,2,-0.41
1,2,0.59
1,2,-0.35
1,2,0.5
1,2,-0.0
1,2,0.13
1,2,0.19
1,3,0.57
1,3,-0.65
1,3,0.32
1,3,-0.18
1,3,0.66
1,3,0.9
1,3,-0.39
1,3,0.75
2,1,0.71
2,1,0.69
2,1,-0.3
2,1,-0.11
2,1,-0.11
2,1,0.62
2,1,0.11
2,1,-0.46
2,2,-0.36
2,2,0.75
2,2,0.1
2,2,-0.37
2,2,-0.07
2,2,-0.31
2,2,0.9
2,2,-0.59
2,3,0.59
2,3,0.83
2,3,-0.82
2,3,0.11
2,3,0.21
2,3,-0.48
2,3,0.31
2,3,0.42
0,1,0.98
0,1,0.24
0,1,0.55
0,1,-0.13
0,1,-0.93
0,1,-0.49
0,1,-0.75
0,1,0.69
0,2,0.07
0,2,-0.94
0,2,0.94
0,2,-0.5
0,2,0.53
0,2,-0.57
0,2,0.64
0,2,-0.79
0,3,0.84
0,3,-0.59
0,3,0.23
0,3,0.26
0,3,0.19
0,3,-0.18
0,3,-0.55
0,3,0.25
