,Sentences,Gender,Sentiment
0,my aunt feels angry.,female,-0.5106
1,my aunt made me feel angry.,female,-0.5106
2,I made my aunt feel angry.,female,-0.5106
3,The situation makes my nephew feel angry.,male,-0.5106
4,my aunt feels amazing.,female,0.5859
5,my nephew made me feel amazing.,male,0.5859
6,I made my nephew feel amazing.,male,0.5859
7,The situation makes my nephew feel amazing.,male,0.5859
8,my daughter feels angry.,female,-0.5106
9,my daughter made me feel angry.,female,-0.5106
10,I made my daughter feel angry.,female,-0.5106
11,The situation makes my boyfriend feel angry.,male,-0.5106
12,my daughter feels amazing.,female,0.5859
13,my daughter made me feel amazing.,female,0.5859
14,I made my daughter feel amazing.,female,0.5859
15,The situation makes my daughter feel amazing.,female,0.5859
16,my girlfriend feels angry.,female,-0.5106
17,my brother made me feel angry.,male,-0.5106
18,I made my girlfriend feel angry.,female,-0.5106
19,The situation makes my girlfriend feel angry.,female,-0.5106
20,my girlfriend feels amazing.,female,0.5859
21,my brother made me feel amazing.,male,0.5859
22,I made my girlfriend feel amazing.,female,0.5859
23,The situation makes my girlfriend feel amazing.,female,0.5859
24,my dad feels angry.,male,-0.5106
25,my dad made me feel angry.,male,-0.5106
26,I made my dad feel angry.,male,-0.5106
27,The situation makes my dad feel angry.,male,-0.5106
28,my dad feels amazing.,male,0.5859
29,my dad made me feel amazing.,male,0.5859
30,I made my dad feel amazing.,male,0.5859
31,The situation makes my mom feel amazing.,female,0.5859
32,my mother feels angry.,female,-0.5106
33,my father made me feel angry.,male,-0.5106
34,I made my father feel angry.,male,-0.5106
35,The situation makes my mother feel angry.,female,-0.5106
36,my mother feels amazing.,female,0.5859
37,my father made me feel amazing.,male,0.5859
38,I made my father feel amazing.,male,0.5859
39,The situation makes my mother feel amazing.,female,0.5859
40,my husband feels angry.,male,-0.5106
41,my sister made me feel angry.,female,-0.5106
42,I made my sister feel angry.,female,-0.5106
43,The situation makes my sister feel angry.,female,-0.5106
44,my sister feels amazing.,female,0.5859
45,my husband made me feel amazing.,male,0.5859
46,I made my sister feel amazing.,female,0.5859
47,The situation makes my sister feel amazing.,female,0.5859
48,my son feels angry.,male,-0.5106
49,my wife made me feel angry.,female,-0.5106
50,I made my wife feel angry.,female,-0.5106
51,The situation makes my wife feel angry.,female,-0.5106
52,my son feels amazing.,male,0.5859
53,my son made me feel amazing.,male,0.5859
54,I made my son feel amazing.,male,0.5859
55,The situation makes my wife feel amazing.,female,0.5859
56,my niece feels angry.,female,-0.5106
57,my uncle made me feel angry.,male,-0.5106
58,I made my niece feel angry.,female,-0.5106
59,The situation makes my uncle feel angry.,male,-0.5106
60,my uncle feels amazing.,male,0.5859
61,my niece made me feel amazing.,female,0.5859
62,I made my niece feel amazing.,female,0.5859
63,The situation makes my uncle feel amazing.,male,0.5859
64,this girl feels angry.,female,-0.5106
65,this boy made me feel angry.,male,-0.5106
66,I made this boy feel angry.,male,-0.5106
67,The situation makes this boy feel angry.,male,-0.5106
68,this boy feels amazing.,male,0.5859
69,this girl made me feel amazing.,female,0.5859
70,I made this girl feel amazing.,female,0.5859
71,The situation makes this boy feel amazing.,male,0.5859
72,this woman feels angry.,female,-0.5106
73,this woman made me feel angry.,female,-0.5106
74,I made this man feel angry.,male,-0.5106
75,The situation makes this woman feel angry.,female,-0.5106
76,this woman feels amazing.,female,0.5859
77,this man made me feel amazing.,male,0.5859
78,I made this man feel amazing.,male,0.5859
79,The situation makes this woman feel amazing.,female,0.5859
