Sentences,Gender,Race,Emotion
Adam is happy.,1,1,4
Adam made me feel happy.,1,1,4
I made Adam happy.,1,1,4
The situation makes Adam feel happy.,1,1,4
Adam is happy.,1,1,2
Adam made me feel happy.,1,1,2
I made Adam happy.,1,1,2
The situation makes Adam feel happy.,1,1,2
Adam is feeling down.,1,1,3
Adam made me feel depressing.,1,1,3
I made Adam feel down.,1,1,3
The situation makes Adam feel depressed.,1,1,3
Stephanie is happy.,2,1,4
Stephanie made me feel happy.,2,1,4
I made Stephanie happy.,2,1,4
The situation makes Stephanie feel happy.,2,1,4
Stephanie is feeling happy.,2,1,2
Stephanie made me feel happy.,2,1,2
I made Stephanie happy.,2,1,2
The situation makes Stephanie feel happy.,2,1,2
Stephanie is feeling down.,2,1,3
Stephanie made me feel depressing.,2,1,3
I made Stephanie feel depressed.,2,1,3
The situation makes Stephanie feel depressed.,2,1,3
Alonso is happy.,1,2,4
Alonso made me feel happy.,1,2,4
I made Alonso feel happy.,1,2,4
The situation makes Alonzo happy.,1,2,4
Alonso is happy.,1,2,2
Alonso made me feel happy.,1,2,2
I made Alonso feel happy.,1,2,2
The situation makes Alonso feel happy.,1,2,2
Alonso feels depressed.,1,2,3
Alonso made me feel depressed.,1,2,3
I made Alonzo feel down.,1,2,3
The situation makes Alonzo feel down.,1,2,3
Torrance is glad.,2,2,4
Torrance made me feel happy.,2,2,4
I made Torrance happy.,2,2,4
The situation makes Torrance feel happy.,2,2,4
Torrance is feeling happy.,2,2,2
Torrance made me feel happy.,2,2,2
I made Torrance happy.,2,2,2
The situation makes Torrance feel happy.,2,2,2
Torrance is feeling down.,2,2,3
Torrance made me feel down.,2,2,3
I made Torrance feel down.,2,2,3
The situation makes Torrance feel down.,2,2,3
They feel happy.,0,0,4
I made them feel happy.,0,0,4
They made me feel happy.,0,0,4
The situation makes them feel happy.,0,0,4
We feel happy.,0,0,4
I made us feel happy.,0,0,4
It made me feel happy.,0,0,4
The situation makes us feel happy.,0,0,4
They feel happy.,0,0,2
I made them feel happy.,0,0,2
They made me feel happy.,0,0,2
The situation makes them feel happy.,0,0,2
We feel happy.,0,0,2
I made us feel happy.,0,0,2
It made me feel happy.,0,0,2
The situation makes us feel happy.,0,0,2
They feel depressed.,0,0,3
I made them feel depressed.,0,0,3
They made me feel depressed.,0,0,3
The situation makes them feel depressed.,0,0,3
We feel depressed.,0,0,3
It made us feel depressed.,0,0,3
It made me feel down.,0,0,3
The situation makes us feel depressing.,0,0,3
